ledger_id,status_id,date,record_type,account,primary_theme,service_recognition,mentioned_handles,hashtags,status_url,accounting_status
recovered-001,706146203604492288,2016-03-05,repost,ppolitics,civic-and-public-context,false,betanyc|NYCCouncil|ppolitics,NYC|opengov,https://x.com/ppolitics/status/706146203604492288,recovered
recovered-002,706208629360304128,2016-03-05,authored-post,CallNYCapp,launch-and-press,false,CallNYCapp|NYCCouncil,nycSoData|OpenDataDay,https://x.com/CallNYCapp/status/706208629360304128,recovered
recovered-003,707677287366467584,2016-03-09,authored-post,CallNYCapp,resident-facing-product-interface,false,CallNYCapp|NYCCouncil,CallNYC,https://x.com/CallNYCapp/status/707677287366467584,recovered
recovered-004,710150246781882369,2016-03-16,authored-reply,CallNYCapp,direct-conversation,false,CallNYCapp|noneck,,https://x.com/CallNYCapp/status/710150246781882369,recovered
recovered-005,710154803054301184,2016-03-16,authored-reply,CallNYCapp,direct-conversation,false,CallNYCapp|noneck,,https://x.com/CallNYCapp/status/710154803054301184,recovered
recovered-006,710498412349800450,2016-03-17,authored-post,CallNYCapp,project-commentary,false,alizauf|CallNYCapp,311,https://x.com/CallNYCapp/status/710498412349800450,recovered
recovered-007,710507767447031808,2016-03-17,authored-post,CallNYCapp,launch-and-press,false,CallNYCapp|Politico,,https://x.com/CallNYCapp/status/710507767447031808,recovered
recovered-008,712349795403374592,2016-03-22,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,MostService,https://x.com/CallNYCapp/status/712349795403374592,recovered
recovered-009,713537148000018432,2016-03-26,authored-post,CallNYCapp,resident-facing-product-interface,false,CallNYCapp|noneck|NYCCouncil|ppolitics,opendata,https://x.com/CallNYCapp/status/713537148000018432,recovered
recovered-010,715139663384547328,2016-03-30,repost,chris_whong,civic-and-public-context,false,chris_whong|nyc311,opendata,https://x.com/chris_whong/status/715139663384547328,recovered
recovered-011,722837286476390401,2016-04-20,authored-reply,CallNYCapp,direct-conversation,false,CallNYCapp|noneck|NYCCouncil|ppolitics,,https://x.com/CallNYCapp/status/722837286476390401,recovered
recovered-012,722837868008177664,2016-04-20,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RitchieTorres,CallNYC|USCitizenship,https://x.com/CallNYCapp/status/722837868008177664,recovered
recovered-013,722928370237853696,2016-04-20,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StephenLevin33,CallNYC|Libraries,https://x.com/CallNYCapp/status/722928370237853696,recovered
recovered-014,723132373114572801,2016-04-21,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,CallNYC|FoodStamps,https://x.com/CallNYCapp/status/723132373114572801,recovered
recovered-015,723153082096345092,2016-04-21,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,CallNYC|LandlordIssues,https://x.com/CallNYCapp/status/723153082096345092,recovered
recovered-016,723249608659443712,2016-04-21,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|ydanis,CallNYC|NYCHANewApplication,https://x.com/CallNYCapp/status/723249608659443712,recovered
recovered-017,723313062950907905,2016-04-22,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,NYCHABuildingMaintenance,https://x.com/CallNYCapp/status/723313062950907905,recovered
recovered-018,723546610576306176,2016-04-22,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMMathieuEugene|NYCCouncil,CallNYC|Immigration,https://x.com/CallNYCapp/status/723546610576306176,recovered
recovered-019,723547805709676544,2016-04-22,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|NYCGreenfield,EarthDay|TreePlanting,https://x.com/CallNYCapp/status/723547805709676544,recovered
recovered-020,724723473852059649,2016-04-25,authored-post,CallNYCapp,service-recognition,true,BenKallos|CallNYCapp|NYCCouncil,CallNYC|GeneralConstruction,https://x.com/CallNYCapp/status/724723473852059649,recovered
recovered-021,724727480909705216,2016-04-25,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,CallNYC|ParkMaintenance,https://x.com/CallNYCapp/status/724727480909705216,recovered
recovered-022,724767660353949697,2016-04-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|Dromm25|NYCCouncil,CallNYC|Noise,https://x.com/CallNYCapp/status/724767660353949697,recovered
recovered-023,724986599419875333,2016-04-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RitchieTorres,CallNYC|TaxPrepAssistance,https://x.com/CallNYCapp/status/724986599419875333,recovered
recovered-024,725048363528392704,2016-04-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|StreetResurfacing,https://x.com/CallNYCapp/status/725048363528392704,recovered
recovered-025,725052316978663426,2016-04-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MMViverito|NYCCouncil,CallNYC|NYCHATransfer,https://x.com/CallNYCapp/status/725052316978663426,recovered
recovered-026,725084356432269313,2016-04-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MarkTreyger718|NYCCouncil,CallNYC|Employment,https://x.com/CallNYCapp/status/725084356432269313,recovered
recovered-027,725334082364821504,2016-04-27,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|Vanessalgibson,CommunityBasedOrg,https://x.com/CallNYCapp/status/725334082364821504,recovered
recovered-028,725403215282487296,2016-04-27,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMPeterKoo|NYCCouncil,CallNYC|Lifeline,https://x.com/CallNYCapp/status/725403215282487296,recovered
recovered-029,725445909241278468,2016-04-27,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ElizCrowleyNYC|NYCCouncil,AnimalCare|WildAnimal,https://x.com/CallNYCapp/status/725445909241278468,recovered
recovered-030,725447728503902211,2016-04-27,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|cmenchaca|NYCCouncil,CityServicesAndBenefits,https://x.com/CallNYCapp/status/725447728503902211,recovered
recovered-031,725462205173518338,2016-04-27,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RosieMendez,CallNYC|HomelessShelter,https://x.com/CallNYCapp/status/725462205173518338,recovered
recovered-032,725783813880684544,2016-04-28,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,AffordableHousing|CallNYC,https://x.com/CallNYCapp/status/725783813880684544,recovered
recovered-033,725788478676570113,2016-04-28,repost,Gothamist,civic-and-public-context,false,Gothamist,bikenyc,https://x.com/Gothamist/status/725788478676570113,recovered
recovered-034,725789777673465857,2016-04-28,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,CallNYC|LeaseIssue,https://x.com/CallNYCapp/status/725789777673465857,recovered
recovered-035,725813046631911424,2016-04-28,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,LandUseApplication,https://x.com/CallNYCapp/status/725813046631911424,recovered
recovered-036,726080902024040448,2016-04-29,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMMathieuEugene|NYCCouncil,CallNYC|GreenCard,https://x.com/CallNYCapp/status/726080902024040448,recovered
recovered-037,726819779953188865,2016-05-01,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|NYCGreenfield,CallNYC|ConEdison,https://x.com/CallNYCapp/status/726819779953188865,recovered
recovered-038,726900698827358208,2016-05-01,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|FCabreraNY|NYCCouncil,CallNYC|RentalArrears,https://x.com/CallNYCapp/status/726900698827358208,recovered
recovered-039,727164122106847233,2016-05-02,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,CallNYC|StreetLights,https://x.com/CallNYCapp/status/727164122106847233,recovered
recovered-040,727218948127739905,2016-05-02,authored-post,CallNYCapp,project-commentary,false,CallNYCapp|Organize20|spedwybabs,CatPictures|org20,https://x.com/CallNYCapp/status/727218948127739905,recovered
recovered-041,727251825414561792,2016-05-02,authored-post,CallNYCapp,service-recognition,true,BenKallos|CallNYCapp|NYCCouncil,Bicycle|BikeMonth|CallNYC,https://x.com/CallNYCapp/status/727251825414561792,recovered
recovered-042,727528637340241920,2016-05-03,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|IDaneekMiller|NYCCouncil,CallNYC|SnowRemoval,https://x.com/CallNYCapp/status/727528637340241920,recovered
recovered-043,727601279984381952,2016-05-03,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MMViverito|NYCCouncil,CallNYC|Heat|HotWater,https://x.com/CallNYCapp/status/727601279984381952,recovered
recovered-044,727619816081784832,2016-05-03,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|PotHoles,https://x.com/CallNYCapp/status/727619816081784832,recovered
recovered-045,727689676115611650,2016-05-04,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MarkTreyger718|NYCCouncil,CallNYC|VotingInfo,https://x.com/CallNYCapp/status/727689676115611650,recovered
recovered-046,727878157076959232,2016-05-04,authored-post,CallNYCapp,civic-technology-context,false,CallNYCapp|NYCCouncil,CouncilStat|OpenData,https://x.com/CallNYCapp/status/727878157076959232,recovered
