subset_slot,source_surface,displayed_host,recovery_status,year,primary_form
host-card-001,past-events,Jamie Burkart,recovered,2006,networked-culture-and-public-history
host-card-002,past-events,Jamie Burkart,recovered,2007,participatory-place-travel-and-water
host-card-003,past-events,Jamie Burkart,recovered,2007,networked-culture-and-public-history
host-card-004,past-events,Jamie Burkart,recovered,2007,participatory-place-travel-and-water
host-card-005,past-events,Jamie Burkart,recovered,2007,participatory-place-travel-and-water
host-card-006,past-events,Jamie Burkart,recovered,2010,participatory-place-travel-and-water
host-card-007,past-events,Jamie Burkart,recovered,2011,cultural-performance-and-production
host-card-008,past-events,Jamie Burkart,recovered,2011,cultural-performance-and-production
host-card-009,past-events,Jamie Burkart,recovered,2011,cultural-performance-and-production
host-card-010,past-events,Jamie Burkart,recovered,2012,recurring-hospitality-and-care
host-card-011,past-events,Jamie Burkart,recovered,2012,cultural-performance-and-production
host-card-012,past-events,Jamie Burkart,recovered,2013,recurring-hospitality-and-care
host-card-013,past-events,Jamie Burkart,recovered,2013,cultural-performance-and-production
host-card-014,past-events,Jamie Burkart,recovered,2014,recurring-hospitality-and-care
host-card-015,past-events,Jamie Burkart,recovered,2014,recurring-hospitality-and-care
host-card-016,past-events,Jamie Burkart,recovered,2014,networked-culture-and-public-history
host-card-017,past-events,Jamie Burkart,recovered,2016,cultural-performance-and-production
host-card-018,past-events,Jamie Burkart,recovered,2016,cultural-performance-and-production
host-card-019,past-events,Jamie Burkart,recovered,2017,civic-learning-and-making
host-card-020,past-events,Jamie Burkart,recovered,2017,civic-learning-and-making
