slot,recovery_status,year,primary_form
recovered-001,recovered,2006,networked-culture-and-public-history
recovered-002,recovered,2007,participatory-place-travel-and-water
recovered-003,recovered,2007,networked-culture-and-public-history
recovered-004,recovered,2007,participatory-place-travel-and-water
recovered-005,recovered,2007,participatory-place-travel-and-water
recovered-006,recovered,2010,participatory-place-travel-and-water
recovered-007,recovered,2011,cultural-performance-and-production
recovered-008,recovered,2011,cultural-performance-and-production
recovered-009,recovered,2011,cultural-performance-and-production
recovered-010,recovered,2012,recurring-hospitality-and-care
recovered-011,recovered,2012,cultural-performance-and-production
recovered-012,recovered,2013,recurring-hospitality-and-care
recovered-013,recovered,2013,cultural-performance-and-production
recovered-014,recovered,2014,recurring-hospitality-and-care
recovered-015,recovered,2014,recurring-hospitality-and-care
recovered-016,recovered,2014,networked-culture-and-public-history
recovered-017,recovered,2016,cultural-performance-and-production
recovered-018,recovered,2016,cultural-performance-and-production
recovered-019,recovered,2017,civic-learning-and-making
recovered-020,recovered,2017,civic-learning-and-making
unresolved-021,unresolved,,
