ledger_id,year,record_type,primary_theme,professional_relevance,accounting_status,public_detail_status
recovered-0001,2022,video,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0002,2022,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0003,2020,video,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0004,2020,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0005,2020,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0006,2020,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0007,2020,photo,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0008,2020,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0009,2020,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0010,2020,video,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0011,2020,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0012,2020,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0013,2020,external-link,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0014,2020,shared-story,community-and-hospitality,project-specific,recovered,aggregate-only
recovered-0015,2020,photo,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0016,2020,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0017,2020,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0018,2020,video,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0019,2020,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0020,2020,text,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0021,2020,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0022,2019,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0023,2019,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0024,2019,text,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0025,2019,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0026,2019,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0027,2019,shared-story,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0028,2019,photo,community-and-hospitality,project-specific,recovered,aggregate-only
recovered-0029,2019,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0030,2019,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0031,2019,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0032,2019,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0033,2019,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0034,2019,shared-story,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0035,2019,shared-story,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0036,2019,shared-story,waterways-place-and-ecology,practice-related,recovered,aggregate-only
recovered-0037,2019,photo-album,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0038,2019,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0039,2019,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0040,2019,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0041,2019,video,community-and-hospitality,practice-related,recovered,aggregate-only
recovered-0042,2019,photo,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0043,2019,photo,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0044,2019,external-link,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0045,2019,event,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0046,2019,video,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0047,2019,video,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0048,2019,photo,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0049,2019,event,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0050,2019,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0051,2019,video,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0052,2019,video,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0053,2019,photo,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0054,2019,shared-story,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0055,2019,event,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0056,2019,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0057,2019,video,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0058,2019,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0059,2019,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0060,2019,text,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0061,2019,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0062,2019,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0063,2019,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0064,2018,photo,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0065,2018,shared-story,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0066,2018,shared-story,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0067,2018,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0068,2018,video,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0069,2018,external-link,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0070,2018,video,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0071,2018,shared-story,community-and-hospitality,project-specific,recovered,aggregate-only
recovered-0072,2018,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0073,2018,media-or-text-unavailable,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0074,2018,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0075,2018,video,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0076,2018,event,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0077,2018,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0078,2018,event,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0079,2018,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0080,2018,event,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0081,2018,event,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0082,2018,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0083,2018,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0084,2018,photo-album,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0085,2018,event,media-only-or-text-unavailable,contextual,recovered,aggregate-only
recovered-0086,2018,photo,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0087,2018,video,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0088,2018,photo,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0089,2018,event,community-and-hospitality,practice-related,recovered,aggregate-only
recovered-0090,2018,text,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0091,2017,shared-story,civic-and-public-interest-work,practice-related,recovered,aggregate-only
recovered-0092,2017,photo-album,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0093,2017,video,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0094,2017,photo,community-and-hospitality,project-specific,recovered,aggregate-only
recovered-0095,2017,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0096,2017,shared-story,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0097,2017,external-link,culture-art-and-performance,contextual,recovered,aggregate-only
recovered-0098,2017,shared-story,culture-art-and-performance,project-specific,recovered,aggregate-only
recovered-0099,2017,shared-story,care-memory-and-relationships,contextual,recovered,aggregate-only
recovered-0100,2017,photo,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0101,2017,photo-album,civic-and-public-interest-work,project-specific,recovered,aggregate-only
recovered-0102,2017,shared-story,everyday-life-and-observation,contextual,recovered,aggregate-only
recovered-0103,2017,shared-story,civic-and-public-interest-work,project-specific,recovered,aggregate-only
