record_id,sequence_newest_to_oldest,record_form,primary_theme,readable_campaign_message,grantee_recognition,stakeholder_group_count,destination_family_count,reactions_observed_2026_07_14,public_locator,record_status
kcspaces-fb-ff96d2a8a61ea71b,1,original-media-post,grantee-recognition,true,true,1,2,0,https://www.facebook.com/photo/?fbid=153638726296561,recovered-readable
kcspaces-fb-bc9e39a0e1a65e3e,2,original-media-post,grantee-recognition,true,true,1,1,1,https://www.facebook.com/photo/?fbid=150615036598930,recovered-readable
kcspaces-fb-f7184da6fc9597e5,3,original-media-post,grantee-recognition,true,true,1,1,1,https://www.facebook.com/photo/?fbid=145013447159089,recovered-readable
kcspaces-fb-46764bcc3008ca46,4,original-media-post,grantee-recognition,true,true,1,1,0,https://www.facebook.com/photo/?fbid=144021393924961,recovered-readable
kcspaces-fb-09a09a1ca15d579f,5,original-media-post,grantee-recognition,true,true,2,1,3,https://www.facebook.com/photo/?fbid=143405120653255,recovered-readable
kcspaces-fb-5a564d694a658e0a,6,original-media-post,application-deadline,true,false,3,1,1,https://www.facebook.com/photo/?fbid=139689317691502,recovered-readable
kcspaces-fb-2ad48f5dbf56b265,7,video-or-gif-route,interface-remnant,false,false,0,0,3,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-2b76df9cba1b04f9,8,original-media-post,application-deadline,true,false,3,1,3,https://www.facebook.com/photo/?fbid=138091041184663,recovered-readable
kcspaces-fb-233d1aa1543dee12,9,unavailable-attachment-remnant,interface-remnant,false,false,0,0,1,https://www.facebook.com/KCSpacesFund/,recovered-unavailable-remnant
kcspaces-fb-31e176e2c11b4197,10,original-media-post,grantee-recognition,true,true,2,1,9,https://www.facebook.com/photo/?fbid=136663087994125,recovered-readable
kcspaces-fb-daf03e88e0a046ea,11,original-media-post,grantee-recognition,true,true,4,1,15,https://www.facebook.com/photo/?fbid=136348721358895,recovered-readable
kcspaces-fb-20c95c5624b6fa10,12,original-media-post,interface-remnant,false,false,0,0,1,https://www.facebook.com/photo/?fbid=135546938105740,recovered-interface-remnant
kcspaces-fb-033c6a6802d35d22,13,status-update-remnant,interface-remnant,false,false,0,0,1,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-2b6478b51f7f621e,14,video-or-gif-route,interface-remnant,false,false,0,0,1,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-de93e67e4179c18c,15,status-update-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-89ac68dcc2f6f5f4,16,unavailable-attachment-remnant,interface-remnant,false,false,0,0,1,https://www.facebook.com/KCSpacesFund/,recovered-unavailable-remnant
kcspaces-fb-30f41bf3bed293a6,17,original-media-post,grantee-recognition,true,true,1,1,4,https://www.facebook.com/photo/?fbid=133121925014908,recovered-readable
kcspaces-fb-93b3965c287701fd,18,status-update-remnant,interface-remnant,false,false,0,0,4,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-d05063c0b6226cac,19,unavailable-attachment-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-unavailable-remnant
kcspaces-fb-1792d7d4b608ce36,20,original-media-post,mutual-aid-fundraising,true,false,0,1,0,https://www.facebook.com/photo/?fbid=130062675320833,recovered-readable
kcspaces-fb-a54285b0931b8a8a,21,status-update-remnant,interface-remnant,false,false,0,0,2,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-bee2135a33ef01cc,22,status-update-remnant,interface-remnant,false,false,0,1,4,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-fa9667bb90fb217d,23,status-update-remnant,interface-remnant,false,false,0,0,7,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-22e46a18589cb35a,24,original-media-post,application-scope-and-eligibility,true,false,2,1,3,https://www.facebook.com/photo/?fbid=126941488966285,recovered-readable
kcspaces-fb-a4e9b382a46a1524,25,original-media-post,application-scope-and-eligibility,true,false,0,1,0,https://www.facebook.com/photo/?fbid=125555442438223,recovered-readable
kcspaces-fb-e459b959918e8236,26,original-media-post,grantee-recognition,true,true,2,1,9,https://www.facebook.com/photo/?fbid=124554605871640,recovered-readable
kcspaces-fb-5c5f7e9ec6375e8a,27,original-media-post,application-scope-and-eligibility,true,false,1,1,1,https://www.facebook.com/photo/?fbid=123595942634173,recovered-readable
kcspaces-fb-e20d34a3530e10aa,28,status-update-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-9c2c6b3669905554,29,original-media-post,grantee-recognition,true,true,3,1,9,https://www.facebook.com/photo/?fbid=121726656154435,recovered-readable
kcspaces-fb-712b72ee9f43d588,30,original-media-post,application-scope-and-eligibility,true,false,1,1,11,https://www.facebook.com/photo/?fbid=117603333233434,recovered-readable
kcspaces-fb-cd7faeb4be596d19,31,original-media-post,campaign-launch-and-action,true,false,2,2,8,https://www.facebook.com/photo/?fbid=116335740026860,recovered-readable
kcspaces-fb-8307f8aab2263e4f,32,unavailable-attachment-remnant,interface-remnant,false,false,0,0,1,https://www.facebook.com/KCSpacesFund/,recovered-unavailable-remnant
kcspaces-fb-2bacecdf021a4d7c,33,status-update-remnant,interface-remnant,false,false,0,0,4,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-29dbb9ec59d2fa2d,34,original-media-post,application-scope-and-eligibility,true,false,3,1,6,https://www.facebook.com/photo/?fbid=114781443515623,recovered-readable
kcspaces-fb-d040e5a4e980f34f,35,status-update-remnant,interface-remnant,false,false,0,0,5,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-3150d4328f2f4099,36,status-update-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-43032c882e0e5819,37,status-update-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-interface-remnant
kcspaces-fb-083b8d77dacee4ed,38,unavailable-attachment-remnant,interface-remnant,false,false,0,0,0,https://www.facebook.com/KCSpacesFund/,recovered-unavailable-remnant
