record_id,sequence_newest_to_oldest,record_form,primary_theme,theme_count,stakeholder_group_count,outbound_url_count,reactions_observed_2026_07_14,comments_observed_2026_07_14,shares_observed_2026_07_14,public_locator
nycac-fb-3ff7f29f2e6416bc,1,original-media-post,commercial-rent-and-tenancy,1,0,0,2,2,0,https://www.facebook.com/photo/?fbid=2960969320824103&set=a.544849644343446
nycac-fb-bdd60150d4df3968,2,event-route,public-meetings-and-participation,1,1,0,0,0,0,https://www.facebook.com/events/503995897624880/
nycac-fb-94fea2a24f5938f7,3,reshared-story,cultural-space-care,2,1,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-30e5bd7e7cee26cc,4,original-media-post,event-and-cultural-distribution,1,0,0,5,0,1,https://www.facebook.com/photo/?fbid=2796822323905471&set=a.544849644343446
nycac-fb-1fbab2234fdd8ffa,5,standalone-post,cultural-space-care,2,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-2fcf964038458220,6,standalone-post,cultural-space-care,2,0,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-b6046ca77a157b72,7,standalone-post,general-coalition-communication,0,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-8cc3b06ca955060c,8,standalone-post,nightlife-enforcement-and-governance,1,1,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-807f42cd465798ca,9,standalone-post,commercial-rent-and-tenancy,3,0,0,5,0,5,https://www.facebook.com/nycartc
nycac-fb-33a4b33f2900df0b,10,standalone-post,nightlife-enforcement-and-governance,2,1,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-442ebc2ee8bbaa3b,11,standalone-post,cultural-space-care,2,1,0,2,0,0,https://www.facebook.com/nycartc
nycac-fb-c5c427f9d8681bd5,12,event-route,funding-and-operational-resources,2,0,0,0,0,0,https://www.facebook.com/events/772824526895291/
nycac-fb-ca70598aba6efe09,13,event-route,funding-and-operational-resources,2,0,0,2,1,0,https://www.facebook.com/events/772824526895291/
nycac-fb-a661401b9578f79c,14,event-route,funding-and-operational-resources,1,0,0,3,1,0,https://www.facebook.com/events/772824526895291/
nycac-fb-effa8ccb0b794fa7,15,standalone-post,general-coalition-communication,0,0,0,3,3,1,https://www.facebook.com/nycartc
nycac-fb-6ab7d9853a725c68,16,original-media-post,nightlife-enforcement-and-governance,1,2,0,0,1,0,https://www.facebook.com/photo/?fbid=2686676394920065&set=a.544849644343446
nycac-fb-6dfe640fc9802ef3,17,standalone-post,general-coalition-communication,0,0,0,1,0,1,https://www.facebook.com/nycartc
nycac-fb-fefae2362cdd2094,18,standalone-post,cultural-space-care,1,0,0,1,1,0,https://www.facebook.com/nycartc
nycac-fb-48ebf1ae445d8f1a,19,standalone-post,nightlife-enforcement-and-governance,1,0,0,1,1,0,https://www.facebook.com/nycartc
nycac-fb-14816065286b9d06,20,standalone-post,cultural-space-care,1,0,0,4,1,0,https://www.facebook.com/nycartc
nycac-fb-df62961ab2ce00c8,21,standalone-post,general-coalition-communication,0,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-60379cca80e8a520,22,standalone-post,cultural-space-care,1,0,0,1,1,0,https://www.facebook.com/nycartc
nycac-fb-83ba1e610c0b1fd1,23,standalone-post,cultural-space-care,2,0,0,3,0,0,https://www.facebook.com/nycartc
nycac-fb-3157b32359f39bbb,24,standalone-post,cultural-space-care,2,0,0,1,1,0,https://www.facebook.com/nycartc
nycac-fb-5c47093faa3247e0,25,standalone-post,cultural-space-care,2,0,0,2,1,0,https://www.facebook.com/nycartc
nycac-fb-494abc2495496c09,26,standalone-post,commercial-rent-and-tenancy,2,0,0,4,1,0,https://www.facebook.com/nycartc
nycac-fb-5e66f5e3d2bca30d,27,standalone-post,general-coalition-communication,0,0,0,6,0,0,https://www.facebook.com/nycartc
nycac-fb-4f67d78f4687063c,28,event-route,cultural-space-care,2,0,0,5,1,0,https://www.facebook.com/events/208435106806073/
nycac-fb-a7fc13e71f774e57,29,standalone-post,nightlife-enforcement-and-governance,2,1,0,13,0,1,https://www.facebook.com/nycartc
nycac-fb-dbe3dd51828ae7d6,30,original-media-post,general-coalition-communication,0,0,0,3,0,0,https://www.facebook.com/photo/?fbid=2597461867174852&set=a.544849644343446
nycac-fb-8235ee39e8fb47ff,31,original-media-post,general-coalition-communication,0,0,0,10,0,0,https://www.facebook.com/photo/?fbid=2597455297175509&set=a.544849644343446
nycac-fb-baccdcb24ab75428,32,standalone-post,funding-and-operational-resources,1,0,0,2,0,0,https://www.facebook.com/nycartc
nycac-fb-b973683ee0c7a038,33,standalone-post,general-coalition-communication,0,0,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-94577c4786fdaf71,34,original-media-post,general-coalition-communication,0,0,0,1,0,0,https://www.facebook.com/photo/?fbid=2591180771136295&set=a.544849644343446
nycac-fb-b399f2210163390b,35,source-or-resource-route,general-coalition-communication,0,0,1,2,1,4,https://www.facebook.com/nycartc
nycac-fb-507e770ac1058b01,36,standalone-post,cultural-space-care,2,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-a0389297a152396e,37,standalone-post,funding-and-operational-resources,1,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-e2f30638b0b50018,38,standalone-post,cultural-space-care,1,0,0,4,1,1,https://www.facebook.com/nycartc
nycac-fb-30897e1c99fa406b,39,standalone-post,general-coalition-communication,0,0,0,0,0,0,https://www.facebook.com/nycartc
nycac-fb-1ca967cb35ddd344,40,reshared-story,nightlife-enforcement-and-governance,2,1,0,7,0,2,https://www.facebook.com/nycartc
nycac-fb-2bdfc7eea0a52f83,41,standalone-post,commercial-rent-and-tenancy,2,0,0,13,1,0,https://www.facebook.com/nycartc
nycac-fb-318df67a2e0190ae,42,reshared-story,nightlife-enforcement-and-governance,4,0,0,2,0,3,https://www.facebook.com/nycartc
nycac-fb-42b6e25b5585aeee,43,standalone-post,cultural-space-care,2,1,0,2,2,0,https://www.facebook.com/nycartc
nycac-fb-3bf3eab1b0c19844,44,reshared-story,cultural-space-care,2,0,1,5,2,4,https://www.facebook.com/nycartc
nycac-fb-4c596291e2ced112,45,source-or-resource-route,commercial-rent-and-tenancy,2,0,1,40,5,36,https://www.facebook.com/nycartc
nycac-fb-0b8bc06bccb84af0,46,source-or-resource-route,press-and-public-knowledge,1,0,1,6,2,0,https://www.facebook.com/nycartc
nycac-fb-537fae3b4663afa1,47,standalone-post,funding-and-operational-resources,2,0,0,2,1,0,https://www.facebook.com/nycartc
nycac-fb-1a3edfac19b1177d,48,standalone-post,public-meetings-and-participation,2,0,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-269b9d66789cb72e,49,source-or-resource-route,cultural-space-care,2,0,1,13,3,20,https://www.facebook.com/nycartc
nycac-fb-92429cb76500989c,50,standalone-post,general-coalition-communication,0,0,0,2,0,1,https://www.facebook.com/nycartc
nycac-fb-052c56d811acb09b,51,standalone-post,general-coalition-communication,0,0,0,2,0,0,https://www.facebook.com/nycartc
nycac-fb-d06f540543fc5eca,52,standalone-post,press-and-public-knowledge,1,0,0,3,0,1,https://www.facebook.com/nycartc
nycac-fb-1a06c15d7e129552,53,standalone-post,funding-and-operational-resources,1,0,0,3,0,1,https://www.facebook.com/nycartc
nycac-fb-62dd630a5ad919a5,54,standalone-post,general-coalition-communication,0,0,0,5,2,0,https://www.facebook.com/nycartc
nycac-fb-912b31f757d6e739,55,source-or-resource-route,funding-and-operational-resources,1,0,1,1,0,0,https://www.facebook.com/nycartc
nycac-fb-53f665dcab789d19,56,source-or-resource-route,funding-and-operational-resources,1,0,2,8,7,6,https://www.facebook.com/nycartc
nycac-fb-f8726ec99b3e4563,57,original-media-post,general-coalition-communication,0,0,0,1,2,0,https://www.facebook.com/photo/?fbid=2524364801151226&set=a.544849644343446
nycac-fb-75b96cb692a17948,58,standalone-post,funding-and-operational-resources,1,0,0,4,0,2,https://www.facebook.com/nycartc
nycac-fb-691f5ce3895319da,59,standalone-post,event-and-cultural-distribution,1,0,0,2,0,0,https://www.facebook.com/nycartc
nycac-fb-4bafbbeb0f442483,60,source-or-resource-route,funding-and-operational-resources,1,0,1,0,0,0,https://www.facebook.com/nycartc
nycac-fb-be42a1d8c2e8c011,61,reshared-story,funding-and-operational-resources,1,0,0,3,1,0,https://www.facebook.com/events/1371973329662017/
nycac-fb-0d2f3468d01b9d33,62,event-route,funding-and-operational-resources,2,0,0,0,0,0,https://www.facebook.com/events/1371973329662017/
nycac-fb-4f1e9ab9bf54a600,63,event-route,funding-and-operational-resources,2,0,0,3,0,0,https://www.facebook.com/events/1371973329662017/
nycac-fb-a21bf8c1e99a15da,64,standalone-post,cultural-space-care,3,0,0,1,1,1,https://www.facebook.com/nycartc
nycac-fb-624208837af2c6d1,65,standalone-post,commercial-rent-and-tenancy,1,0,0,8,0,10,https://www.facebook.com/nycartc
nycac-fb-3d3b6780daca68c1,66,standalone-post,general-coalition-communication,0,0,0,4,2,0,https://www.facebook.com/nycartc
nycac-fb-6833d457885aa7b5,67,standalone-post,cultural-space-care,2,0,0,7,1,6,https://www.facebook.com/nycartc
nycac-fb-327d37675a122a7c,68,standalone-post,funding-and-operational-resources,1,1,0,5,0,8,https://www.facebook.com/nycartc
nycac-fb-3668a51958e477c2,69,event-route,event-and-cultural-distribution,1,0,0,0,0,0,https://www.facebook.com/events/184969502815604/
nycac-fb-b251fe70a896cc7e,70,standalone-post,commercial-rent-and-tenancy,1,0,0,8,0,1,https://www.facebook.com/nycartc
nycac-fb-90e7e5c6901f2483,71,standalone-post,general-coalition-communication,0,0,0,8,0,1,https://www.facebook.com/nycartc
nycac-fb-72d510fb360cb67a,72,event-route,commercial-rent-and-tenancy,1,0,0,9,0,0,https://www.facebook.com/events/824636481335600/
nycac-fb-f0a9ede4f6df59c4,73,standalone-post,general-coalition-communication,0,0,0,0,0,1,https://www.facebook.com/nycartc
nycac-fb-0a6550ce5c6156e6,74,standalone-post,press-and-public-knowledge,1,1,0,6,0,1,https://www.facebook.com/nycartc
nycac-fb-e466229c5f03509f,75,standalone-post,press-and-public-knowledge,1,0,0,11,0,1,https://www.facebook.com/nycartc
nycac-fb-d7a0aa9fe49fdd7c,76,original-media-post,commercial-rent-and-tenancy,2,1,1,4,0,2,https://www.facebook.com/photo/?fbid=2418139538440420&set=a.544849644343446
nycac-fb-8409863444b85743,77,standalone-post,commercial-rent-and-tenancy,3,0,0,1,0,0,https://www.facebook.com/nycartc
nycac-fb-bc9cb13dd921aaa5,78,event-route,commercial-rent-and-tenancy,4,1,0,1,0,0,https://www.facebook.com/events/511065806145986/
nycac-fb-487d3f9f05bd3f66,79,reshared-story,nightlife-enforcement-and-governance,3,0,0,1,0,0,https://www.facebook.com/nycartc
