slot_id,year,host_relationship,primary_theme,accounting_status,public_detail_status
recovered-001,2017,jamie-host-card,civic-learning-and-making,recovered,aggregate-only
recovered-002,2017,jamie-host-card,civic-learning-and-making,recovered,aggregate-only
recovered-003,2016,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-004,2016,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-005,2014,jamie-host-card,recurring-hospitality-and-care,recovered,aggregate-only
recovered-006,2014,jamie-host-card,recurring-hospitality-and-care,recovered,aggregate-only
recovered-007,2014,jamie-host-card,recurring-hospitality-and-care,recovered,aggregate-only
recovered-008,2013,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-009,2013,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-010,2012,jamie-host-card,recurring-hospitality-and-care,recovered,aggregate-only
recovered-011,2012,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-012,2011,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-013,2011,jamie-host-card,participatory-place-travel-and-water,recovered,aggregate-only
recovered-014,2011,jamie-host-card,cultural-performance-and-production,recovered,aggregate-only
recovered-015,2010,jamie-host-card,participatory-place-travel-and-water,recovered,aggregate-only
recovered-016,2007,jamie-host-card,participatory-place-travel-and-water,recovered,aggregate-only
recovered-017,2007,jamie-host-card,participatory-place-travel-and-water,recovered,aggregate-only
recovered-018,2007,jamie-host-card,networked-culture-and-public-history,recovered,aggregate-only
recovered-019,2007,jamie-host-card,networked-culture-and-public-history,recovered,aggregate-only
recovered-020,2006,jamie-host-card,networked-culture-and-public-history,recovered,aggregate-only
unresolved-021,unknown,unresolved-host-control,unresolved,unresolved,aggregate-only
