ledger_id,status_id,date,record_type,account,primary_theme,mentioned_handles,hashtags,status_url,accounting_status
recovered-001,1013893135695601665,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013893135695601665,recovered
recovered-002,1013894923031113728,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013894923031113728,recovered
recovered-003,1013895905932726273,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013895905932726273,recovered
recovered-004,1013897573856370688,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013897573856370688,recovered
recovered-005,1013902884285681665,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013902884285681665,recovered
recovered-006,1013903134551347200,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013903134551347200,recovered
recovered-007,1013903289392517120,2018-07-02,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1013903289392517120,recovered
recovered-008,1014742105145692161,2018-07-05,authored-post,KCTownHall,community-context-and-amplification,KCTownHall,,https://x.com/KCTownHall/status/1014742105145692161,recovered
recovered-009,1016684231433564160,2018-07-10,authored-post,KCTownHall,community-context-and-amplification,airqkc|KCTownHall|RideKC,OzoneDay,https://x.com/KCTownHall/status/1016684231433564160,recovered
recovered-010,1020798115367047171,2018-07-21,repost,QuintonLucasKC,community-context-and-amplification,QuintonLucasKC|SenKamalaHarris,,https://x.com/QuintonLucasKC/status/1020798115367047171,recovered
recovered-011,1022510145014824962,2018-07-26,repost,GCI1919,community-context-and-amplification,GCI1919,afterschool|countdownto100years|KCMO|latinocommunities|wearehere|youth,https://x.com/GCI1919/status/1022510145014824962,recovered
recovered-012,1023249193878597632,2018-07-28,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,mysteryhand|snailmail,https://x.com/KCTownHall/status/1023249193878597632,recovered
recovered-013,1024739337282441218,2018-08-01,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall|QuintonLucasKC,kctownhall,https://x.com/KCTownHall/status/1024739337282441218,recovered
recovered-014,1026922856091987968,2018-08-07,authored-post,KCTownHall,civic-participation-and-public-information,KCTownHall|RideKCTransit,,https://x.com/KCTownHall/status/1026922856091987968,recovered
recovered-015,1029067847740391426,2018-08-13,repost,CentralHS_KCPS,community-context-and-amplification,CentralHS_KCPS,,https://x.com/CentralHS_KCPS/status/1029067847740391426,recovered
recovered-016,1033485724899794944,2018-08-25,authored-post,KCTownHall,neighborhood-care-and-community-assets,joliejustus|KCMOwater|KCTownHall,,https://x.com/KCTownHall/status/1033485724899794944,recovered
recovered-017,1033500102801993729,2018-08-25,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,,https://x.com/KCTownHall/status/1033500102801993729,recovered
recovered-018,1033505948533448705,2018-08-26,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,MetrowideProblemSolving,https://x.com/KCTownHall/status/1033505948533448705,recovered
recovered-019,1034145416663769088,2018-08-27,authored-reply,KCTownHall,neighborhood-care-and-community-assets,KCTownHall,,https://x.com/KCTownHall/status/1034145416663769088,recovered
recovered-020,1035215055024009216,2018-08-30,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,,https://x.com/KCTownHall/status/1035215055024009216,recovered
recovered-021,1037785619706068995,2018-09-06,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,KCTownHall,https://x.com/KCTownHall/status/1037785619706068995,recovered
recovered-022,1038153710864670721,2018-09-07,authored-post,KCTownHall,community-context-and-amplification,cancunkc|KCTownHall,honored,https://x.com/KCTownHall/status/1038153710864670721,recovered
recovered-023,1043539982676369408,2018-09-22,repost,INCThrives,community-context-and-amplification,INCThrives,,https://x.com/INCThrives/status/1043539982676369408,recovered
recovered-024,1043549999550877697,2018-09-22,authored-post,KCTownHall,civic-participation-and-public-information,KCTownHall|QuintonLucasKC,,https://x.com/KCTownHall/status/1043549999550877697,recovered
recovered-025,1044677436204560384,2018-09-25,repost,GCI1919,civic-participation-and-public-information,GCI1919,sisepuede|vote|yourvoicematters,https://x.com/GCI1919/status/1044677436204560384,recovered
recovered-026,1059533163519770624,2018-11-05,repost,kholmesKARES,community-context-and-amplification,kholmesKARES,,https://x.com/kholmesKARES/status/1059533163519770624,recovered
recovered-027,1060936086648733702,2018-11-09,authored-post,KCTownHall,community-context-and-amplification,KCTownHall,NoOrdinaryLove,https://x.com/KCTownHall/status/1060936086648733702,recovered
recovered-028,1061347310758699008,2018-11-10,authored-post,KCTownHall,neighborhood-care-and-community-assets,KCTownHall,womenofwarriors,https://x.com/KCTownHall/status/1061347310758699008,recovered
recovered-029,1062375399429169152,2018-11-13,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,,https://x.com/KCTownHall/status/1062375399429169152,recovered
recovered-030,1062377455338618880,2018-11-13,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,,https://x.com/KCTownHall/status/1062377455338618880,recovered
recovered-031,1087695661020205056,2019-01-22,authored-post,KCTownHall,community-context-and-amplification,KCTownHall,,https://x.com/KCTownHall/status/1087695661020205056,recovered
recovered-032,1102627427992375296,2019-03-04,authored-post,KCTownHall,civic-participation-and-public-information,KCLibrary|KCTownHall|MattieRhodes|NEKCchamber|onekcradio,,https://x.com/KCTownHall/status/1102627427992375296,recovered
recovered-033,1122854798884257797,2019-04-29,authored-post,KCTownHall,neighborhood-care-and-community-assets,GinaKCUR|KCTownHall|kcur|kcurCST|pubradiosly,,https://x.com/KCTownHall/status/1122854798884257797,recovered
recovered-034,1122859036163170304,2019-04-29,authored-post,KCTownHall,neighborhood-care-and-community-assets,JermaineReed|KCTownHall|QuintonLucasKC,,https://x.com/KCTownHall/status/1122859036163170304,recovered
recovered-035,1122866432130334720,2019-04-29,repost,QuintonLucasKC,neighborhood-care-and-community-assets,JermaineReed|KCTownHall|QuintonLucasKC,,https://x.com/QuintonLucasKC/status/1122866432130334720,recovered
recovered-036,1122867070729949184,2019-04-29,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,,https://x.com/KCTownHall/status/1122867070729949184,recovered
recovered-037,1122881981484797954,2019-04-29,repost,joliejustus,neighborhood-care-and-community-assets,joliejustus,,https://x.com/joliejustus/status/1122881981484797954,recovered
recovered-038,1122883010582466560,2019-04-29,repost,joliejustus,community-context-and-amplification,joliejustus,,https://x.com/joliejustus/status/1122883010582466560,recovered
recovered-039,1122884316093210627,2019-04-29,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,,https://x.com/KCTownHall/status/1122884316093210627,recovered
recovered-040,1122905778464153602,2019-04-29,repost,QuintonLucasKC,neighborhood-care-and-community-assets,QuintonLucasKC,KansasCity|KCMO,https://x.com/QuintonLucasKC/status/1122905778464153602,recovered
recovered-041,1122977313468157953,2019-04-29,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,,https://x.com/KCTownHall/status/1122977313468157953,recovered
recovered-042,1123264511698456577,2019-04-30,repost,KansasCity,community-context-and-amplification,KansasCity,JazzDay,https://x.com/KansasCity/status/1123264511698456577,recovered
recovered-043,1124416898064580608,2019-05-03,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124416898064580608,recovered
recovered-044,1124418375181058048,2019-05-03,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,,https://x.com/KCTownHall/status/1124418375181058048,recovered
recovered-045,1124448415293874176,2019-05-03,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124448415293874176,recovered
recovered-046,1124481129057333250,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124481129057333250,recovered
recovered-047,1124717766756503552,2019-05-04,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,KCTownHall,,https://x.com/KCTownHall/status/1124717766756503552,recovered
recovered-048,1124760081596391424,2019-05-04,repost,_Titi81,resident-service-dialogue-and-follow-through,_Titi81|KCTownHall,,https://x.com/_Titi81/status/1124760081596391424,recovered
recovered-049,1124779534795071489,2019-05-04,authored-reply,KCTownHall,resident-service-dialogue-and-follow-through,KCTownHall,,https://x.com/KCTownHall/status/1124779534795071489,recovered
recovered-050,1124789562293870592,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124789562293870592,recovered
recovered-051,1124791429790879745,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124791429790879745,recovered
recovered-052,1124792146064748550,2019-05-04,repost,NickStarlingPIO,neighborhood-care-and-community-assets,41actionnews|NickStarlingPIO,,https://x.com/NickStarlingPIO/status/1124792146064748550,recovered
recovered-053,1124793002843615233,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124793002843615233,recovered
recovered-054,1124795681389076481,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1124795681389076481,recovered
recovered-055,1124810411302359040,2019-05-04,authored-post,KCTownHall,resident-service-and-environmental-action,foresttysonjr|KCTownHall|urbanhermit,TiredOfTires,https://x.com/KCTownHall/status/1124810411302359040,recovered
recovered-056,1126284471894933504,2019-05-09,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,GCI1919|joliejustus|KCTownHall|QuintonLucasKC,kcmayor|kcmayoraldebate|voteKC,https://x.com/KCTownHall/status/1126284471894933504,recovered
recovered-057,1134594449256984576,2019-05-31,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1134594449256984576,recovered
recovered-058,1134608391614160896,2019-05-31,authored-post,KCTownHall,resident-service-and-environmental-action,kctownhall|KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1134608391614160896,recovered
recovered-059,1135225497384890368,2019-06-02,authored-post,KCTownHall,neighborhood-care-and-community-assets,danfowlerkcmo|JermaineReed|joliejustus|K_J_Shields|KCTownHall|mcmanuskc|QuintonLucasKC,,https://x.com/KCTownHall/status/1135225497384890368,recovered
recovered-060,1135246124883861504,2019-06-02,authored-post,KCTownHall,resident-service-and-environmental-action,foresttysonjr|KCTownHall|urbanhermit,TiredOfTires,https://x.com/KCTownHall/status/1135246124883861504,recovered
recovered-061,1147586873423998976,2019-07-06,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1147586873423998976,recovered
recovered-062,1147589894660907009,2019-07-06,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1147589894660907009,recovered
recovered-063,1147602234127130624,2019-07-06,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1147602234127130624,recovered
recovered-064,1147679988600254465,2019-07-07,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1147679988600254465,recovered
recovered-065,1148277187583389703,2019-07-08,repost,trutheresme,resident-service-and-environmental-action,BTG_KC|KCTownHall|trutheresme,communitybuilding|environmentaljustice|moregreenplease,https://x.com/trutheresme/status/1148277187583389703,recovered
recovered-066,1154729332755050496,2019-07-26,repost,RideKCTransit,civic-participation-and-public-information,RideKCTransit,,https://x.com/RideKCTransit/status/1154729332755050496,recovered
recovered-067,1154888028889976834,2019-07-26,authored-reply,KCTownHall,neighborhood-care-and-community-assets,KCTownHall,,https://x.com/KCTownHall/status/1154888028889976834,recovered
recovered-068,1157464628324110336,2019-08-03,authored-post,KCTownHall,resident-service-and-environmental-action,ellington_b|KCTownHall|QuintonLucasKC|Robinson4kc,TiredOfTires,https://x.com/KCTownHall/status/1157464628324110336,recovered
recovered-069,1157482636463476736,2019-08-03,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1157482636463476736,recovered
recovered-070,1157483198781087744,2019-08-03,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1157483198781087744,recovered
recovered-071,1157483542529617926,2019-08-03,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1157483542529617926,recovered
recovered-072,1157861700944703488,2019-08-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1157861700944703488,recovered
recovered-073,1159153322236026881,2019-08-07,authored-post,KCTownHall,adaptive-reuse-and-neighborhood-process,ellington_b|KCTownHall|QuintonLucasKC|Robinson4kc,,https://x.com/KCTownHall/status/1159153322236026881,recovered
recovered-074,1170072880090165249,2019-09-06,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1170072880090165249,recovered
recovered-075,1170387602329034754,2019-09-07,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1170387602329034754,recovered
recovered-076,1170387688496799744,2019-09-07,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1170387688496799744,recovered
recovered-077,1170387736492224512,2019-09-07,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1170387736492224512,recovered
recovered-078,1173037571162738689,2019-09-15,repost,trutheresme,neighborhood-care-and-community-assets,trutheresme,,https://x.com/trutheresme/status/1173037571162738689,recovered
recovered-079,1180176299471638528,2019-10-04,repost,laurazig,community-context-and-amplification,CityofKCK|HughesDevelopmentCo|kcur|laurazig,HereToListenKCUR,https://x.com/laurazig/status/1180176299471638528,recovered
recovered-080,1180178311848366083,2019-10-04,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180178311848366083,recovered
recovered-081,1180550513819095042,2019-10-05,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180550513819095042,recovered
recovered-082,1180551346090577920,2019-10-05,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180551346090577920,recovered
recovered-083,1180552140005298176,2019-10-05,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180552140005298176,recovered
recovered-084,1180552910071095301,2019-10-05,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180552910071095301,recovered
recovered-085,1180553578689236992,2019-10-05,authored-post,KCTownHall,resident-service-and-environmental-action,KCTownHall,TiredOfTires,https://x.com/KCTownHall/status/1180553578689236992,recovered
