slot_id,event_id,event_date,event_title,page_relationship,venue_or_mode,event_format,primary_program,response_display,recovery_status,source_url
recovered-001,388137698233507,2017-01-27,NYC DIY Spaces post Ghost Ship: Dept of Cultural Affairs Meeting,cohosted-or-associated,NYC Department of Cultural Affairs,agency-public-meeting,cultural-space-safety,445 people responded,detail-recovered,https://www.facebook.com/events/388137698233507/
recovered-002,406505576359490,2017-02-06,DIY: NYC Artist Coalition - General Meeting,direct-card-host,Magick City,coalition-formation-meeting,coalition-formation-and-CreateNYC,150 people responded,detail-recovered,https://www.facebook.com/events/406505576359490/
recovered-003,1833265643557435,2017-03-06,NYC Artist Coalition - March General Meeting,direct-card-host,The Floasis,recurring-meeting,safety-town-halls-and-survey-design,61 people responded,detail-recovered,https://www.facebook.com/events/1833265643557435/
recovered-004,629158950604663,2017-03-20,Become a Fire Guard: Group Test & Study,direct-card-host,FDNY Public Certification Unit,training,fire-safety-capacity,13 people responded,detail-recovered,https://www.facebook.com/events/629158950604663/
recovered-005,330648000670969,2017-03-24,Become a Fire Guard: Group Test & Study,direct-card-host,FDNY Public Certification Unit,training,fire-safety-capacity,17 people responded,detail-recovered,https://www.facebook.com/events/330648000670969/
recovered-006,1907948219437421,2017-03-30,Market Hotel - Show NYC We Support Spaces,direct-card-host,Market Hotel,venue-support-action,cultural-space-safety,633 people responded,detail-recovered,https://www.facebook.com/events/1907948219437421/
recovered-007,212427345900529,2017-04-25,Legalize Dance in NYC Panel - NYC Artist Coalition April Meeting,direct-card-host,Muchmore's,panel-and-recurring-meeting,Let-NYC-Dance,458 people responded,detail-recovered,https://www.facebook.com/events/212427345900529/
recovered-008,835861356564686,2017-05-15,Cultural Plan VOTE + Cabaret Law Protest Prep - NAC May Meeting,direct-card-host,The City Reliquary,recurring-meeting,CreateNYC-and-Let-NYC-Dance,71 people responded,detail-recovered,https://www.facebook.com/events/835861356564686/
recovered-009,173887729801951,2017-05-19,LEGAL Q&A + Advocacy,cohosted-or-associated,St Paul Church Williamsburg,legal-Q-and-A,Loft-Law-and-live-work-spaces,26 people responded,detail-recovered,https://www.facebook.com/events/173887729801951/
recovered-010,1677962702508970,2017-05-20,Protest the Cabaret Law w/ NAC + Dance Parade,direct-card-host,Broadway and East 22nd Street,parade-and-protest,Let-NYC-Dance,137 people responded,detail-recovered,https://www.facebook.com/events/1677962702508970/
recovered-011,1472395276154065,2017-06-02,Architectural Q&A + Advocacy,cohosted-or-associated,St Paul Church Williamsburg,architectural-Q-and-A,Loft-Law-and-live-work-spaces,9 people responded,detail-recovered,https://www.facebook.com/events/1472395276154065/
recovered-012,472114119789400,2017-06-19,Cabaret Law Hearing: One Chance to Legalize Dance!,direct-card-host,New York City Hall,public-hearing,Let-NYC-Dance,1.7K people responded,detail-recovered,https://www.facebook.com/events/472114119789400/
recovered-013,107158013279474,2017-07-24,NAC July Meeting: Legalize Dance; Repairs Fund; CreateNYC,direct-card-host,Shoestring Press,recurring-meeting,Let-NYC-Dance-safety-and-CreateNYC,99 people responded,detail-recovered,https://www.facebook.com/events/107158013279474/
