ledger_id,status_id,date,record_type,account,primary_theme,mentioned_handles,hashtags,status_url,accounting_status
recovered-0001,847855360614563842,2017-03-31,authored-record,NYCArtC,public-process-and-government-dialogue,CMReynoso34|commendnyc|danceliberation|NYCulture|RLEspinal,CommunityDriven|createNYC,https://x.com/NYCArtC/status/847855360614563842,recovered
recovered-0002,926538867146149888,2017-11-03,authored-record,NYCArtC,nightlife-and-cultural-space-policy,,,https://x.com/NYCArtC/status/926538867146149888,recovered
recovered-0003,935386487083937792,2017-11-28,authored-record,NYCArtC,nightlife-and-cultural-space-policy,danceliberation|DanceParadeNYC|elsewherespace|NYCMayor|NYCulture|RLEspinal,LetNYCDance,https://x.com/NYCArtC/status/935386487083937792,recovered
recovered-0004,1054360370893209600,2018-10-22,authored-record,NYCArtC,fair-rent-and-storefront-stability,,PassSBJSA|SaveNYCSpaces,https://x.com/NYCArtC/status/1054360370893209600,recovered
recovered-0005,1054445704461066240,2018-10-22,authored-record,NYCArtC,nightlife-and-cultural-space-policy,JimmyVanBramer,PassSBJSA|SaveNYCSpaces|SBJSA,https://x.com/NYCArtC/status/1054445704461066240,recovered
recovered-0006,1169388006844829696,2019-09-04,authored-record,NYCArtC,nightlife-and-cultural-space-policy,RLEspinal|StephenLevin33|TheBlackInst,SaveBlackBrunch|TalksNotRaids,https://x.com/NYCArtC/status/1169388006844829696,recovered
recovered-0007,1169390041128472576,2019-09-04,authored-record,NYCArtC,nightlife-and-cultural-space-policy,,1156|TalksNotRaids,https://x.com/NYCArtC/status/1169390041128472576,recovered
recovered-0008,1181214596025192449,2019-10-07,authored-record,NYCArtC,nightlife-and-cultural-space-policy,MarkGjonajNY|NYCCouncil,TalksNotRaids,https://x.com/NYCArtC/status/1181214596025192449,recovered
recovered-0009,1187742418378076161,2019-10-25,authored-record,NYCArtC,nightlife-and-cultural-space-policy,NYCCouncil|NYCSpeakerCoJo|RLEspinal|StephenLevin33,1156|TalksNotRaids,https://x.com/NYCArtC/status/1187742418378076161,recovered
recovered-0010,1188835059324932098,2019-10-28,authored-record,NYCArtC,fair-rent-and-storefront-stability,NYCCouncil,FairRentNYC,https://x.com/NYCArtC/status/1188835059324932098,recovered
recovered-0011,1189286411737935872,2019-10-29,authored-record,NYCArtC,nightlife-and-cultural-space-policy,NYCCouncil|NYCSpeakerCoJo|odetobabel|TheBlackInst,1156|TalksNotRaids,https://x.com/NYCArtC/status/1189286411737935872,recovered
recovered-0012,1191742977091260421,2019-11-05,authored-record,NYCArtC,coalition-ecosystem-amplification,,,https://x.com/NYCArtC/status/1191742977091260421,recovered
recovered-0013,1194020863584157702,2019-11-11,authored-record,NYCArtC,fair-rent-and-storefront-stability,NYCCouncil,FairRentNYC,https://x.com/NYCArtC/status/1194020863584157702,recovered
recovered-0014,1194253948393328640,2019-11-12,authored-record,NYCArtC,fair-rent-and-storefront-stability,ChhayaCDC|MarkLevineNYC|NYCCouncil|NYCSpeakerCoJo|RLEspinal|StephenLevin33|usb_nyc|Vanessalgibson|VendorPower,FairRentNYC,https://x.com/NYCArtC/status/1194253948393328640,recovered
recovered-0015,1194399703208775689,2019-11-12,authored-record,NYCArtC,fair-rent-and-storefront-stability,CarlinaRivera|NYCCouncil|NYCSpeakerCoJo|RLEspinal|StephenLevin33|Vanessalgibson,FairRentNYC,https://x.com/NYCArtC/status/1194399703208775689,recovered
recovered-0016,1194746006296055808,2019-11-13,authored-record,NYCArtC,fair-rent-and-storefront-stability,CarlinaRivera|NYCCouncil|NYCSpeakerCoJo|RLEspinal|StephenLevin33|Vanessalgibson,FairRentNYC,https://x.com/NYCArtC/status/1194746006296055808,recovered
