population_slot,disposition,status_url,status_id,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,issue_families,stakeholder_groups,access_time_replies,access_time_reposts,access_time_likes,note
RECOVERED-001,recovered,https://x.com/ppolitics/status/706146203604492288,706146203604492288,2016-03-05T15:55:49.000Z,ppolitics,project-repost,posts,https://t.co/595mNVKE1j -> http://nyctwg.org || https://t.co/fxKlcXONki -> http://labs.council.nyc || https://t.co/0998D9hEqF -> http://talk.beta.nyc,@ppolitics | @NYCCouncil | @betanyc,#NYC | #opengov,,Council institution | civic-technology community,0,3,3,
RECOVERED-002,recovered,https://x.com/CallNYCapp/status/706208629360304128,706208629360304128,2016-03-05T20:03:52.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @NYCCouncil,#nycSoData | #OpenDataDay,civic-technology-and-open-data,Council institution,0,4,9,
RECOVERED-003,recovered,https://x.com/CallNYCapp/status/707677287366467584,707677287366467584,2016-03-09T21:19:47.000Z,CallNYCapp,project-post,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org,@CallNYCapp | @NYCCouncil,#CallNYC,,Council institution,0,0,0,
RECOVERED-004,recovered,https://x.com/CallNYCapp/status/710150246781882369,710150246781882369,2016-03-16T17:06:27.000Z,CallNYCapp,project-reply,posts,https://t.co/yLLGsC6DRO -> http://CallNYC.org || https://t.co/IBvFeEBZSP -> http://WOWList.org,@CallNYCapp | @noneck,,civic-technology-and-open-data | culture-and-community,civic-technology community | community and cultural networks,0,0,0,
RECOVERED-005,recovered,https://x.com/CallNYCapp/status/710154803054301184,710154803054301184,2016-03-16T17:24:33.000Z,CallNYCapp,project-reply,posts,https://t.co/7mstGHJlRD -> http://callnyc.org/finance/tax-preparation-assistance.html,@CallNYCapp | @noneck,,jobs-and-economic-support,civic-technology community,0,0,0,
RECOVERED-006,recovered,https://x.com/CallNYCapp/status/710498412349800450,710498412349800450,2016-03-17T16:09:56.000Z,CallNYCapp,project-post,posts,https://t.co/uhtgJwS83b -> http://gizmodo.com/check-the-history-of-complaints-at-any-nyc-address-with-1764099069 -> https://gizmodo.com/check-the-history-of-complaints-at-any-nyc-address-with-1764099069,@CallNYCapp | @alizauf,#311,,civic-technology community | press and journalism,0,0,2,
RECOVERED-007,recovered,https://x.com/CallNYCapp/status/710507767447031808,710507767447031808,2016-03-17T16:47:07.000Z,CallNYCapp,project-post,posts,https://t.co/mnTxsOm2u5 -> http://politi.co/1RW5eXZ -> http://www.capitalnewyork.com/article/city-hall/2016/03/8593638/website-allows-getting-know-councilmembers-through-data,@CallNYCapp | @Politico,,transportation-and-streets,press and journalism,0,0,0,
RECOVERED-008,recovered,https://x.com/CallNYCapp/status/712349795403374592,712349795403374592,2016-03-22T18:46:40.000Z,CallNYCapp,project-post,posts,https://t.co/o34NImeSCP -> http://callnyc.org,@CallNYCapp | @NYCCouncil | @JimmyVanBramer,#MostService,,New York City Council members and offices | Council institution,0,0,0,
RECOVERED-009,recovered,https://x.com/CallNYCapp/status/713537148000018432,713537148000018432,2016-03-26T01:24:47.000Z,CallNYCapp,project-post,posts,https://t.co/3FD3LmieU3 -> http://CallNYC.org/api/,@CallNYCapp | @NYCCouncil | @ppolitics | @noneck,#opendata,civic-technology-and-open-data | government-and-democracy,Council institution | civic-technology community,0,0,0,
RECOVERED-010,recovered,https://x.com/chris_whong/status/715139663384547328,715139663384547328,2016-03-30T11:32:37.000Z,chris_whong,project-repost,posts,https://t.co/KvWTMollyY -> http://bit.ly/1Y0gSCZ -> http://chriswhong.github.io/311buddy/,@chris_whong | @nyc311,#opendata,civic-technology-and-open-data,civic-technology community,0,5,8,
