population_slot,disposition,status_url,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,classifications,access_time_replies,access_time_reposts,access_time_likes,access_time_bookmarks,note
RECOVERED-001,recovered,https://x.com/KCTownHall/status/1013893135695601665,2018-07-02T21:12:15.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,1,5,15,0,Shared-account human authorship is not assigned.
RECOVERED-002,recovered,https://x.com/KCTownHall/status/1013894923031113728,2018-07-02T21:19:21.000Z,@KCTownHall,project-post,posts | replies,https://t.co/r3kHwsgVNP -> http://KCTownHall.com/join,@KCTownHall,#KCTownHall,,0,1,3,0,Shared-account human authorship is not assigned.
RECOVERED-003,recovered,https://x.com/KCTownHall/status/1013895905932726273,2018-07-02T21:23:15.000Z,@KCTownHall,project-post,posts | replies,https://t.co/r3kHwsgVNP -> http://KCTownHall.com/join,@KCTownHall,#KCTownHall,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-004,recovered,https://x.com/KCTownHall/status/1013897573856370688,2018-07-02T21:29:53.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-005,recovered,https://x.com/KCTownHall/status/1013902884285681665,2018-07-02T21:50:59.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-006,recovered,https://x.com/KCTownHall/status/1013903134551347200,2018-07-02T21:51:59.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-007,recovered,https://x.com/KCTownHall/status/1013903289392517120,2018-07-02T21:52:36.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-008,recovered,https://x.com/KCTownHall/status/1014742105145692161,2018-07-05T05:25:45.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,,,0,0,2,0,Shared-account human authorship is not assigned.
RECOVERED-009,recovered,https://x.com/KCTownHall/status/1016684231433564160,2018-07-10T14:03:04.000Z,@KCTownHall,project-post,posts | replies,https://t.co/5SiJPgIaBU -> http://kcata.org/about_kcata/entries/ozone_alert…,@KCTownHall | @RideKC | @airqkc,#OzoneDay,,1,2,7,0,Shared-account human authorship is not assigned.
RECOVERED-010,recovered,https://x.com/QuintonLucasKC/status/1020798115367047171,2018-07-21T22:30:10.000Z,@QuintonLucasKC,project-repost,posts | replies,https://t.co/jc5nZGtusU -> https://curbed.com/2018/7/20/17595698/rent-relief-act-tax-credit-kamala-harris…,@QuintonLucasKC,,,2,2,3,0,Source-post engagement is not project-account traction.
RECOVERED-011,recovered,https://x.com/GCI1919/status/1022510145014824962,2018-07-26T15:53:10.000Z,@GCI1919,project-repost,posts | replies,,@GCI1919,#countdownto100years | #youth | #latinocommunities | #afterschool | #wearehere | #KCMO,,0,5,8,0,Source-post engagement is not project-account traction.
RECOVERED-012,recovered,https://x.com/KCTownHall/status/1023249193878597632,2018-07-28T16:49:53.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,#snailmail | #mysteryhand,,0,0,2,0,Shared-account human authorship is not assigned.
RECOVERED-013,recovered,https://x.com/KCTownHall/status/1024739337282441218,2018-08-01T19:31:11.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall | @QuintonLucasKC,#kctownhall,,1,3,10,0,Shared-account human authorship is not assigned.
RECOVERED-014,recovered,https://x.com/KCTownHall/status/1026922856091987968,2018-08-07T20:07:42.000Z,@KCTownHall,project-post,posts | replies,https://t.co/YOLxn5lCEo -> http://kcur.org/post/cheat-sheet-tuesdays-primary-election-missouri#stream/0… || https://t.co/h2rxGUdJJh -> https://voteroutreach.sos.mo.gov/PRD/VoterOutreach/VOSearch.aspx…,@KCTownHall | @RideKCTransit,,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-015,recovered,https://x.com/CentralHS_KCPS/status/1029067847740391426,2018-08-13T18:11:08.000Z,@CentralHS_KCPS,project-repost,posts | replies,,@CentralHS_KCPS,,,0,4,11,0,Source-post engagement is not project-account traction.
RECOVERED-016,recovered,https://x.com/KCTownHall/status/1033485724899794944,2018-08-25T22:46:12.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall | @KCMOwater | @joliejustus,,,1,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-017,recovered,https://x.com/KCTownHall/status/1033500102801993729,2018-08-25T23:43:20.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,1,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-018,recovered,https://x.com/KCTownHall/status/1033505948533448705,2018-08-26T00:06:34.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,#MetrowideProblemSolving,,2,0,2,0,Shared-account human authorship is not assigned.
RECOVERED-019,recovered,https://x.com/KCTownHall/status/1034145416663769088,2018-08-27T18:27:35.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,1,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-020,recovered,https://x.com/KCTownHall/status/1035215055024009216,2018-08-30T17:17:57.000Z,@KCTownHall,project-post,posts | replies,https://t.co/8BtTrG0dKQ -> https://youtu.be/PmLjLyOpS9I || https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,,,0,2,3,0,Shared-account human authorship is not assigned.
RECOVERED-021,recovered,https://x.com/KCTownHall/status/1037785619706068995,2018-09-06T19:32:27.000Z,@KCTownHall,project-post,posts | replies,https://t.co/XX2HOanaDx -> http://KCTownHall.com/temporary-elecary-electricity/… || https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#KCTownHall,,0,1,1,0,Shared-account human authorship is not assigned.
RECOVERED-022,recovered,https://x.com/KCTownHall/status/1038153710864670721,2018-09-07T19:55:07.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall | @cancunkc,#honored,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-023,recovered,https://x.com/INCThrives/status/1043539982676369408,2018-09-22T16:38:14.000Z,@INCThrives,project-repost,posts | replies,,@INCThrives,,,0,1,1,0,Source-post engagement is not project-account traction.
RECOVERED-024,recovered,https://x.com/KCTownHall/status/1043549999550877697,2018-09-22T17:18:02.000Z,@KCTownHall,project-post,posts | replies,https://t.co/qblDnsNEjm -> http://northeastnews.net/pages/affordable-housing-policy-hits-docket-kcmo/…,@KCTownHall | @QuintonLucasKC,,,0,2,1,0,Shared-account human authorship is not assigned.
RECOVERED-025,recovered,https://x.com/GCI1919/status/1044677436204560384,2018-09-25T19:58:04.000Z,@GCI1919,project-repost,posts | replies,https://t.co/lb9UoNFtWE -> http://bit.ly/RegisterToVOTEHere…,@GCI1919,#sisepuede | #yourvoicematters | #vote,,0,1,5,0,Source-post engagement is not project-account traction.
RECOVERED-026,recovered,https://x.com/kholmesKARES/status/1059533163519770624,2018-11-05T19:49:26.000Z,@kholmesKARES,project-repost,posts | replies,,@kholmesKARES,,,19,175,923,2,Source-post engagement is not project-account traction.
RECOVERED-027,recovered,https://x.com/KCTownHall/status/1060936086648733702,2018-11-09T16:44:08.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PXs7IxP0Fj -> http://KCTownHall.com,@KCTownHall,#NoOrdinaryLove,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-028,recovered,https://x.com/KCTownHall/status/1061347310758699008,2018-11-10T19:58:12.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,#womenofwarriors,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-029,recovered,https://x.com/KCTownHall/status/1062375399429169152,2018-11-13T16:03:27.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,,,1,1,8,0,Shared-account human authorship is not assigned.
RECOVERED-030,recovered,https://x.com/KCTownHall/status/1062377455338618880,2018-11-13T16:11:38.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,,,0,0,2,0,Shared-account human authorship is not assigned.
RECOVERED-031,recovered,https://x.com/KCTownHall/status/1087695661020205056,2019-01-22T12:57:08.000Z,@KCTownHall,project-post,posts | replies,https://t.co/6CANa9RNWd -> https://youtube.com/watch?v=1jeyIAH3bUI&feature=youtu.be&t=631…,@KCTownHall,,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-032,recovered,https://x.com/KCTownHall/status/1102627427992375296,2019-03-04T17:50:39.000Z,@KCTownHall,project-post,posts | replies,https://t.co/PyFuI154b3 -> https://facebook.com/events/299606100678115/…,@KCTownHall | @KCLibrary | @NEKCchamber | @MattieRhodes | @onekcradio,,,0,2,3,0,Shared-account human authorship is not assigned.
RECOVERED-033,recovered,https://x.com/KCTownHall/status/1122854798884257797,2019-04-29T13:27:00.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall | @kcurCST | @kcur | @pubradiosly,,,2,0,4,0,Shared-account human authorship is not assigned.
RECOVERED-034,recovered,https://x.com/KCTownHall/status/1122859036163170304,2019-04-29T13:43:50.000Z,@KCTownHall,project-post,posts | replies,https://t.co/vdw4Yr5aST -> https://kansascity.com/news/business/article87241897.html…,@KCTownHall | @QuintonLucasKC | @JermaineReed,,,0,2,2,0,Shared-account human authorship is not assigned.
RECOVERED-035,recovered,https://x.com/QuintonLucasKC/status/1122866432130334720,2019-04-29T14:13:13.000Z,@QuintonLucasKC,project-repost,posts | replies,,@QuintonLucasKC,,,2,4,20,0,Source-post engagement is not project-account traction.
RECOVERED-036,recovered,https://x.com/KCTownHall/status/1122867070729949184,2019-04-29T14:15:46.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-037,recovered,https://x.com/joliejustus/status/1122881981484797954,2019-04-29T15:15:01.000Z,@joliejustus,project-repost,posts | replies,,@joliejustus,,,4,13,60,0,Source-post engagement is not project-account traction.
RECOVERED-038,recovered,https://x.com/joliejustus/status/1122883010582466560,2019-04-29T15:19:06.000Z,@joliejustus,project-repost,posts | replies,,@joliejustus | @KCTownHall | @kcurCST,,,1,1,3,0,Source-post engagement is not project-account traction.
RECOVERED-039,recovered,https://x.com/KCTownHall/status/1122884316093210627,2019-04-29T15:24:17.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-040,recovered,https://x.com/QuintonLucasKC/status/1122905778464153602,2019-04-29T16:49:34.000Z,@QuintonLucasKC,project-repost,posts | replies,,@QuintonLucasKC,#KCMO | #KansasCity,,1,5,24,0,Source-post engagement is not project-account traction.
RECOVERED-041,recovered,https://x.com/KCTownHall/status/1122977313468157953,2019-04-29T21:33:50.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-042,recovered,https://x.com/KansasCity/status/1123264511698456577,2019-04-30T16:35:03.000Z,@KansasCity,project-repost,posts | replies,,@KansasCity,#JazzDay,,0,14,39,0,Source-post engagement is not project-account traction.
RECOVERED-043,recovered,https://x.com/KCTownHall/status/1124416898064580608,2019-05-03T20:54:13.000Z,@KCTownHall,project-post,posts | replies,https://t.co/Vsuw0RSM2g -> http://KCTownHall.com/tires/,@KCTownHall,#TiredOfTires,tire-related,1,1,2,0,Shared-account human authorship is not assigned.
RECOVERED-044,recovered,https://x.com/KCTownHall/status/1124418375181058048,2019-05-03T21:00:05.000Z,@KCTownHall,project-post,posts | replies,https://t.co/kSEpCVgPwt -> http://kctownhall.com/survey/,@KCTownHall,,survey-linked,0,1,2,0,Shared-account human authorship is not assigned.
RECOVERED-045,recovered,https://x.com/KCTownHall/status/1124448415293874176,2019-05-03T22:59:28.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-046,recovered,https://x.com/KCTownHall/status/1124481129057333250,2019-05-04T01:09:27.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,1,1,0,Shared-account human authorship is not assigned.
RECOVERED-047,recovered,https://x.com/KCTownHall/status/1124717766756503552,2019-05-04T16:49:46.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall,,,1,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-048,recovered,https://x.com/_Titi81/status/1124760081596391424,2019-05-04T19:37:55.000Z,@_Titi81,project-repost,posts | replies,,@_Titi81 | @KCTownHall,,,1,1,1,0,Source-post engagement is not project-account traction.
RECOVERED-049,recovered,https://x.com/KCTownHall/status/1124779534795071489,2019-05-04T20:55:13.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-050,recovered,https://x.com/KCTownHall/status/1124789562293870592,2019-05-04T21:35:03.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-051,recovered,https://x.com/KCTownHall/status/1124791429790879745,2019-05-04T21:42:29.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-052,recovered,https://x.com/NickStarlingPIO/status/1124792146064748550,2019-05-04T21:45:19.000Z,@NickStarlingPIO,project-repost,posts | replies,,@NickStarlingPIO | @41actionnews,,,2,7,9,0,Source-post engagement is not project-account traction.
RECOVERED-053,recovered,https://x.com/KCTownHall/status/1124793002843615233,2019-05-04T21:48:44.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-054,recovered,https://x.com/KCTownHall/status/1124795681389076481,2019-05-04T21:59:22.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-055,recovered,https://x.com/KCTownHall/status/1124810411302359040,2019-05-04T22:57:54.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall | @foresttysonjr | @urbanhermit,#TiredOfTires,tire-related,0,0,2,0,Shared-account human authorship is not assigned.
RECOVERED-056,recovered,https://x.com/KCTownHall/status/1126284471894933504,2019-05-09T00:35:18.000Z,@KCTownHall,project-post,posts | replies,https://t.co/bf2VnJH9oy -> https://facebook.com/KCTownHall/videos/2135596040064768… || https://t.co/kSEpCVgPwt -> http://kctownhall.com/survey/,@KCTownHall | @GCI1919 | @joliejustus | @QuintonLucasKC,#kcmayor | #voteKC | #kcmayoraldebate,survey-linked,0,0,3,0,Shared-account human authorship is not assigned.
RECOVERED-057,recovered,https://x.com/KCTownHall/status/1134594449256984576,2019-05-31T22:56:11.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/48yjJD5qWu -> http://KCTownHall.com/Survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-058,recovered,https://x.com/KCTownHall/status/1134608391614160896,2019-05-31T23:51:35.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall | @kctownhall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-059,recovered,https://x.com/KCTownHall/status/1135225497384890368,2019-06-02T16:43:44.000Z,@KCTownHall,project-post,posts | replies,,@KCTownHall | @JermaineReed | @joliejustus | @QuintonLucasKC | @mcmanuskc | @danfowlerkcmo | @K_J_Shields,,,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-060,recovered,https://x.com/KCTownHall/status/1135246124883861504,2019-06-02T18:05:42.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall | @foresttysonjr | @urbanhermit,#TiredOfTires,tire-related,0,1,3,0,Shared-account human authorship is not assigned.
RECOVERED-061,recovered,https://x.com/KCTownHall/status/1147586873423998976,2019-07-06T19:23:26.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,1,1,1,0,Shared-account human authorship is not assigned.
RECOVERED-062,recovered,https://x.com/KCTownHall/status/1147589894660907009,2019-07-06T19:35:26.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-063,recovered,https://x.com/KCTownHall/status/1147602234127130624,2019-07-06T20:24:28.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-064,recovered,https://x.com/KCTownHall/status/1147679988600254465,2019-07-07T01:33:26.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,2,4,0,Shared-account human authorship is not assigned.
RECOVERED-065,recovered,https://x.com/trutheresme/status/1148277187583389703,2019-07-08T17:06:30.000Z,@trutheresme,project-repost,posts | replies,,@trutheresme | @BTG_KC | @KCTownHall,#environmentaljustice | #communitybuilding | #moregreenplease,tire-related,0,1,1,0,Source-post engagement is not project-account traction.
RECOVERED-066,recovered,https://x.com/RideKCTransit/status/1154729332755050496,2019-07-26T12:25:01.000Z,@RideKCTransit,project-repost,posts | replies,https://t.co/D1LHjkHFmS -> https://ridekc.org/planning/ridekc-next…,@RideKCTransit,,,0,3,4,0,Source-post engagement is not project-account traction.
RECOVERED-067,recovered,https://x.com/KCTownHall/status/1154888028889976834,2019-07-26T22:55:37.000Z,@KCTownHall,project-reply,replies,,@KCTownHall,,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-068,recovered,https://x.com/KCTownHall/status/1157464628324110336,2019-08-03T01:34:06.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall | @ellington_b | @Robinson4kc | @QuintonLucasKC,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-069,recovered,https://x.com/KCTownHall/status/1157482636463476736,2019-08-03T02:45:40.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-070,recovered,https://x.com/KCTownHall/status/1157483198781087744,2019-08-03T02:47:54.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXdJRk -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,1,1,0,Shared-account human authorship is not assigned.
RECOVERED-071,recovered,https://x.com/KCTownHall/status/1157483542529617926,2019-08-03T02:49:16.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-072,recovered,https://x.com/KCTownHall/status/1157861700944703488,2019-08-04T03:51:56.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-073,recovered,https://x.com/KCTownHall/status/1159153322236026881,2019-08-07T17:24:22.000Z,@KCTownHall,project-post,posts | replies,https://t.co/cMLHYX42fV -> https://gofundme.com/f/church-ac-theft…,@KCTownHall | @QuintonLucasKC | @Robinson4kc | @ellington_b,,,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-074,recovered,https://x.com/KCTownHall/status/1170072880090165249,2019-09-06T20:34:48.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-075,recovered,https://x.com/KCTownHall/status/1170387602329034754,2019-09-07T17:25:23.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-076,recovered,https://x.com/KCTownHall/status/1170387688496799744,2019-09-07T17:25:44.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-077,recovered,https://x.com/KCTownHall/status/1170387736492224512,2019-09-07T17:25:55.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,1,0,Shared-account human authorship is not assigned.
RECOVERED-078,recovered,https://x.com/trutheresme/status/1173037571162738689,2019-09-15T00:55:25.000Z,@trutheresme,project-repost,posts | replies,,@trutheresme,,,0,1,2,0,Source-post engagement is not project-account traction.
RECOVERED-079,recovered,https://x.com/laurazig/status/1180176299471638528,2019-10-04T17:42:11.000Z,@laurazig,project-repost,posts | replies,,@laurazig | @kcur,#HereToListenKCUR,,0,1,4,0,Source-post engagement is not project-account traction.
RECOVERED-080,recovered,https://x.com/KCTownHall/status/1180178311848366083,2019-10-04T17:50:10.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires || https://t.co/bsYwe6J1iv -> http://KCTownHall.com/survey,@KCTownHall,#TiredOfTires,tire-related | survey-linked,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-081,recovered,https://x.com/KCTownHall/status/1180550513819095042,2019-10-05T18:29:10.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-082,recovered,https://x.com/KCTownHall/status/1180551346090577920,2019-10-05T18:32:29.000Z,@KCTownHall,project-post,posts | replies,https://t.co/COA3dXvlfU -> http://KCTownHall.com/tires,@KCTownHall,#TiredOfTires,tire-related,0,0,0,0,Shared-account human authorship is not assigned.
