population_slot,disposition,status_url,published_at,source_author_handle,relationship,recovered_from,posted_urls,mentions,hashtags,mission_signals,mission_signal_evidence,classification_input_digest,access_time_replies,access_time_reposts,access_time_likes,access_time_bookmarks,access_time_views,note
RECOVERED-0001,recovered-public-interface,https://x.com/NYCArtC/status/827608346882514944,2017-02-03T20:03:00.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/k1WsVr60qB -> http://nycartc.com/dcla-meeting,@NYCArtC,#NYCArtC,,,f90ce44e09a1c39febb8786d8f8f8a4f9ccda8acd83034ead026f08e90b734b2,0,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-0002,recovered-public-interface,https://x.com/NYCArtC/status/829121826743783425,2017-02-08T00:17:02.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC,#LoftLawDeadline | #MARCHprogram | #FireGuard,,,72daf9b1f1df0397011a7552fb43c8b639d3d3950bc489b9ada31393a87e95f0,0,2,3,0,0,Shared-account human authorship is not assigned.
RECOVERED-0003,recovered-public-interface,https://x.com/NYCArtC/status/837713305380716544,2017-03-03T17:16:30.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#communityDriven | #CreateNYC,,,66ed88eadd00097642758a9f99b45fe47263bb5fc5a605c6eedc771e5a0a390b,1,1,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-0004,recovered-public-interface,https://x.com/NYCArtC/status/837713889647284224,2017-03-03T17:18:49.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#communityDriven | #CreateNYC,,,23f258b7a9e810fb0236b00bd977bdc2bdc2e932862053ae1cf91c1bfaa4c257,0,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0005,recovered-public-interface,https://x.com/NYCArtC/status/837715502772301824,2017-03-03T17:25:14.000Z,@NYCArtC,coalition-account-reply,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#CreateNYC,,,46b662bd608308d3571f30ec0242c4edad6abf1c2871067ed2910dca43dd8fe3,1,0,2,0,0,Shared-account human authorship is not assigned.
RECOVERED-0006,recovered-public-interface,https://x.com/NYCArtC/status/837716166227472390,2017-03-03T17:27:52.000Z,@NYCArtC,coalition-account-reply,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#CreateNYC,let-nyc-dance,let-nyc-dance:source-post-body:Cabaret Law,1c8c8f7a543746009adaad02151ccc096526939b7fb6b89e0cf47b4abb7e4701,1,2,2,0,0,Shared-account human authorship is not assigned.
RECOVERED-0007,recovered-public-interface,https://x.com/NYCArtC/status/837716549662306304,2017-03-03T17:29:24.000Z,@NYCArtC,coalition-account-reply,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#CreateNYC,talks-not-raids,talks-not-raids:source-post-body:Multi-Agency Response,b9177567b83f79eb9d8b64ba34057b512707346d584eaefbe9ac3f0854899185,0,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0008,recovered-public-interface,https://x.com/NYCArtC/status/837717414146109440,2017-03-03T17:32:50.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC,#communityDriven | #CreateNYC,,,70247a68d0a35a1d053a2896c5573d31fde80c34771d5bc3fee489bdaef5997b,2,0,2,0,0,Shared-account human authorship is not assigned.
RECOVERED-0009,recovered-public-interface,https://x.com/NYCArtC/status/837719480658714627,2017-03-03T17:41:02.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @LoftLaw | @nyclt,#createnyc,,,1e25207a66704ef06f91e1ece3cfa28a28c7322c9ebdd39689d7fd64a79aab9f,0,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0010,recovered-public-interface,https://x.com/NYCArtC/status/837720021992357888,2017-03-03T17:43:11.000Z,@NYCArtC,coalition-account-reply,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture,#CreateNYC,,,e5c223ae5dd9155825b6638a6f6c9d50343f991816ba8bccda061cce5b3be47a,1,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0011,recovered-public-interface,https://x.com/NYCArtC/status/838870928444567553,2017-03-06T21:56:29.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/IxV5dTnuma -> http://nycartc.com/speakout,@NYCArtC | @NYCulture,#CommunityDriven | #CreateNYC,,,f8b8b0bb2916f2b492659e9e91127d5c7696701dd2db87d9d612fbc3d75baab0,0,2,6,0,0,Shared-account human authorship is not assigned.
RECOVERED-0012,recovered-public-interface,https://x.com/NYCArtC/status/844011116686725120,2017-03-21T02:21:45.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/0O0dArxPOd -> https://facebook.com/events/1907948219437421/%E2%80%A6,@NYCArtC | @markethotelnyc | @NYCulture,#WeSupportSpaces | #CreateNYC,,,7db4233de70ae2f5f82ab4f8076aac0c4683396879a9c9267ae6bbc8d90df419,0,5,5,0,0,Shared-account human authorship is not assigned.
RECOVERED-0013,recovered-public-interface,https://x.com/NYCArtC/status/844196595612704771,2017-03-21T14:38:47.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/eEaRC3IDNK -> https://facebook.com/events/1458467920850569/%E2%80%A6,@NYCArtC | @cueart | @aocbloc,#createNYC,,,9443084e1b097bebed7f03e11be766e6208244b94a1bbab3cbc322806b45f2aa,0,2,4,0,0,Shared-account human authorship is not assigned.
RECOVERED-0014,recovered-public-interface,https://x.com/NYCArtC/status/847855360614563842,2017-03-31T16:57:25.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @NYCulture | @danceliberation | @commendnyc | @RLEspinal | @CMReynoso34,#CommunityDriven | #createNYC,,,de1746731f26eee9d91b9f0438257ff4b8495c5f9965ddb94f271107262a0288,0,6,13,0,0,Shared-account human authorship is not assigned.
RECOVERED-0015,recovered-public-interface,https://x.com/NYCArtC/status/847899581245468672,2017-03-31T19:53:08.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rOmVT0Y4Kv -> https://surveymonkey.com/r/VWVGXKW,@NYCArtC | @NYCulture,#CreateNYC,,,dc7d4360300d609046ac390ed94cdc6edad4965d1e0303803be26fe3823976d2,0,3,3,0,0,Shared-account human authorship is not assigned.
RECOVERED-0016,recovered-public-interface,https://x.com/NYCArtC/status/847929146198155264,2017-03-31T21:50:36.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/X9TqJhoODk -> http://gothamist.com/2017/03/31/market_hotel_cabaret_law.php%E2%80%A6,@NYCArtC | @Gothamist | @danceliberation | @RLEspinal,,,,e46b767cd8573e22db2e36758e692343c8d1081c163fc8e6d2d8d08f5d241e05,0,1,2,0,0,Shared-account human authorship is not assigned.
RECOVERED-0017,recovered-public-interface,https://x.com/NYCArtC/status/854715197575098368,2017-04-19T15:15:57.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/QjNH0VVWZq -> http://wnyc.org/story/news-analysis-chris-hayes-bureaucratic-dance-end-nyc-cabaret-law-one-familys-struggle-over-genetic-testing%E2%80%A6,@NYCArtC | @WNYC,#LetNYCDance,let-nyc-dance,let-nyc-dance:source-post-body:#LetNYCDance,091e822053d15e5740ccfd2d46403e538a7a3dafe5dde44243fa105148d6121b,0,3,2,0,0,Shared-account human authorship is not assigned.
RECOVERED-0018,recovered-public-interface,https://x.com/NYCArtC/status/854820084883361794,2017-04-19T22:12:44.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rDQ3vpA6wF -> https://facebook.com/events/212427345900529/%E2%80%A6,@NYCArtC | @NYCCouncil | @RLEspinal | @danceliberation,#LetNYCDance | #DanceParadeNYC,let-nyc-dance,let-nyc-dance:source-post-body:#LetNYCDance,1faaca5985c465e3a2624f780ee2db9bdb55fab6eed89aae301b6ab1eef085cd,0,3,3,0,0,Shared-account human authorship is not assigned.
RECOVERED-0019,recovered-public-interface,https://x.com/NYCArtC/status/855561497359114240,2017-04-21T23:18:51.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/Y6J7FQEMay -> http://nyclofttenants.org,@NYCArtC | @nyclt,#expandtheloftlaw,,,8ddf6b87c0dac624fd9f670e33313c19a2bcf82a47123bb3a6c2f8720378e3f9,0,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-0020,recovered-public-interface,https://x.com/NYCArtC/status/855567117831348224,2017-04-21T23:41:11.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/Y6J7FQEMay -> http://nyclofttenants.org,@NYCArtC | @nyclt,#expandtheloftlaw,,,e24ea151ee195b015b3125cad69d21fb7825fda731f6449e6a407581f35d0d14,0,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-0021,recovered-public-interface,https://x.com/NYCArtC/status/855570425757171712,2017-04-21T23:54:19.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC | @nyclt,#expandtheloftlaw,,,a32906ca4a615d4167454bcfa3d620bad89216a2b0e3140232a1be21e1e0c1ac,0,0,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-0022,recovered-public-interface,https://x.com/NYCArtC/status/855800854548541441,2017-04-22T15:09:58.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rDQ3vpA6wF -> https://facebook.com/events/212427345900529/%E2%80%A6,@NYCArtC | @mrmuchmores,#LetNYCDance,let-nyc-dance,let-nyc-dance:source-post-body:Cabaret Law,3a139305f3aaa5e297b06bbb849756f350e8d5bc3946933c60ec28b8ec691642,0,1,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0023,recovered-public-interface,https://x.com/NYCArtC/status/856156452670623749,2017-04-23T14:42:59.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,,@NYCArtC,,,,8e62fb9d1b2958727a72a7d4f2087bc49deaab8b509e749e8e0d7ec9d7398903,0,0,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0024,recovered-public-interface,https://x.com/NYCArtC/status/856174324574601217,2017-04-23T15:54:00.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rDQ3vpiv85 -> https://facebook.com/events/212427345900529/%E2%80%A6,@NYCArtC | @mrmuchmores | @DanceParadeNYC | @danceliberation,#letnycdance,let-nyc-dance,let-nyc-dance:source-post-body:Cabaret Law,2f64bdfdd5108bb19765a7bc69a02355f2a5d97f48232f56104f00bc0cb70fdd,0,2,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0025,recovered-public-interface,https://x.com/NYCArtC/status/856220381228802058,2017-04-23T18:57:01.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rDQ3vpA6wF -> https://facebook.com/events/212427345900529/%E2%80%A6,@NYCArtC,#letnycdance,let-nyc-dance,let-nyc-dance:source-post-body:Cabaret Law,9933add6624bc88682443ced41214947c080f8af40417b266ca94964c912f297,0,1,1,0,0,Shared-account human authorship is not assigned.
RECOVERED-0026,recovered-public-interface,https://x.com/NYCArtC/status/856281783070998528,2017-04-23T23:01:00.000Z,@NYCArtC,coalition-account-original,search-authored-2017-01-01-2018-01-01,https://t.co/rDQ3vpiv85 -> https://facebook.com/events/212427345900529/%E2%80%A6,@NYCArtC | @mrmuchmores | @DanceParadeNYC | @danceliberation,#letnycdance,let-nyc-dance,let-nyc-dance:source-post-body:#letnycdance,2b463f81f375d903b239ee8789b9e42286f64d70a3dd1794247a819b227d0695,0,4,4,0,0,Shared-account human authorship is not assigned.
