population_slot,disposition,status_url,status_id,published_at,author_handle,relationship,source_view,posted_urls,mentions,hashtags,mission_themes,stakeholder_groups,access_time_replies,access_time_reposts,access_time_likes,note
RECOVERED-001,recovered,https://x.com/all_ages/status/433628764493606913,433628764493606913,2014-02-12T15:48:48.000Z,all_ages,project-repost,posts-and-replies,,,,diy-scene-values | cross-scene-learning,diy-arts-network,1,4,6,Source-post engagement is not project-account traction.
RECOVERED-002,recovered,https://x.com/wowlist/status/433671630837919744,433671630837919744,2014-02-12T18:39:08.000Z,wowlist,project-post,posts-and-replies,http://t.co/GgppxNburh -> https://sundaydinnernyc.com/tagged/wowlist,@urbanhermit,#SundayDinner,project-origin | sunday-dinner | collaboration,project-collaborators | sunday-dinner-community,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-003,recovered,https://x.com/wowlist/status/587713396486856704,587713396486856704,2015-04-13T20:26:07.000Z,wowlist,project-post,posts-and-replies,http://t.co/e7KLKI81IM -> http://wowlist.org/events/15529,,#org20,participant-contribution | event-distribution,community-contributor | organizing-education-network,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-004,recovered,https://x.com/wowlist/status/590942060829663232,590942060829663232,2015-04-22T18:15:41.000Z,wowlist,project-post,posts-and-replies,http://t.co/dASFox1C0C -> http://wowlist.org || http://t.co/hWIGngWvC2 -> http://alliedmedia.org/amc,,,peer-learning-network | allied-media-conference,allied-media-network | independent-publisher,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-005,recovered,https://x.com/wowlist/status/590961074326917122,590961074326917122,2015-04-22T19:31:14.000Z,wowlist,project-post,posts-and-replies,https://t.co/mM9psewVlR -> https://wowlist.org/kcdiy/events/15939,@DSTRYNATEALLEN,#folkPunk | #KCDIY,event-distribution | local-music-scene,kansas-city-music-scene,0,0,1,Shared-account human authorship is not assigned.
RECOVERED-006,recovered,https://x.com/wowlist/status/591664757473673216,591664757473673216,2015-04-24T18:07:25.000Z,wowlist,project-reply,posts-and-replies,,@juliafredenburg | @wowlist,,product-onboarding | followable-communities,community-contributor,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-007,recovered,https://x.com/wowlist/status/591666366215811073,591666366215811073,2015-04-24T18:13:48.000Z,wowlist,project-reply,posts-and-replies,https://t.co/d0A6kYzDuc -> https://wowlist.org/people/julia,@juliafredenburg | @wowlist,,product-onboarding | profile-workflow,community-contributor,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-008,recovered,https://x.com/wowlist/status/591668857670148096,591668857670148096,2015-04-24T18:23:43.000Z,wowlist,project-reply,posts-and-replies,,@juliafredenburg | @wowlist,,product-onboarding | contribution-workflow,community-contributor,0,0,0,Shared-account human authorship is not assigned.
RECOVERED-009,recovered,https://x.com/urbanhermit/status/591944013768499200,591944013768499200,2015-04-25T12:37:05.000Z,urbanhermit,project-repost,posts-and-replies,https://t.co/yPlmpXlshq -> https://wowlist.org/kcdiy/events/15928/in-the-surface-of-architecture-conversation-with-jack-rees,,,event-distribution | arts-education,project-collaborator | arts-education,0,1,0,Source-post engagement is not project-account traction.
RECOVERED-010,recovered,https://x.com/TheSilentBarn/status/592424659225845760,592424659225845760,2015-04-26T20:27:00.000Z,TheSilentBarn,project-repost,posts-and-replies,http://t.co/03vayVcYxT -> http://gofundme.com/sjdjkk,,,mutual-aid | community-solidarity,diy-cultural-venue | mutual-aid-public,0,2,3,Source-post engagement is not project-account traction.
