ledger_id,year,record_type,primary_theme,accounting_status,public_detail_status
recovered-0001,2008,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0002,2009,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0003,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0004,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0005,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0006,2009,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0007,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0008,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0009,2009,authored-reply,everyday-life-and-observation,recovered,aggregate-only
recovered-0010,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0011,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0012,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0013,2009,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0014,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0015,2009,authored-post,technical-and-digital-practice,recovered,aggregate-only
recovered-0016,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0017,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0018,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0019,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0020,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0021,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0022,2009,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0023,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0024,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0025,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0026,2009,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0027,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0028,2009,authored-reply,everyday-life-and-observation,recovered,aggregate-only
recovered-0029,2009,authored-post,technical-and-digital-practice,recovered,aggregate-only
recovered-0030,2009,authored-reply,waterways-place-and-ecology,recovered,aggregate-only
recovered-0031,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0032,2009,authored-post,media-only-or-text-unavailable,recovered,aggregate-only
recovered-0033,2009,authored-reply,civic-and-public-interest-work,recovered,aggregate-only
recovered-0034,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0035,2009,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0036,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0037,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0038,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0039,2009,authored-post,care-memory-and-relationships,recovered,aggregate-only
recovered-0040,2009,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0041,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0042,2009,authored-post,technical-and-digital-practice,recovered,aggregate-only
recovered-0043,2009,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0044,2009,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0045,2009,authored-post,care-memory-and-relationships,recovered,aggregate-only
recovered-0046,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0047,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0048,2009,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0049,2009,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0050,2009,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0051,2010,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0052,2010,authored-post,technical-and-digital-practice,recovered,aggregate-only
recovered-0053,2010,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0054,2010,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0055,2010,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0056,2010,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0057,2011,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0058,2011,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0059,2011,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0060,2011,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0061,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0062,2012,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0063,2012,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0064,2012,authored-post,care-memory-and-relationships,recovered,aggregate-only
recovered-0065,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0066,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0067,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0068,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0069,2012,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0070,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0071,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0072,2012,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0073,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0074,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0075,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0076,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0077,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0078,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0079,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0080,2013,repost,community-and-hospitality,recovered,aggregate-only
recovered-0081,2013,authored-post,technical-and-digital-practice,recovered,aggregate-only
recovered-0082,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0083,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0084,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0085,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0086,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0087,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0088,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0089,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0090,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0091,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0092,2013,repost,everyday-life-and-observation,recovered,aggregate-only
recovered-0093,2013,authored-reply,everyday-life-and-observation,recovered,aggregate-only
recovered-0094,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0095,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0096,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0097,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0098,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0099,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0100,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0101,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0102,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0103,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0104,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0105,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0106,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0107,2013,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0108,2013,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0109,2013,authored-post,care-memory-and-relationships,recovered,aggregate-only
recovered-0110,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0111,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0112,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0113,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0114,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0115,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0116,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0117,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0118,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0119,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0120,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0121,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0122,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0123,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0124,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0125,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0126,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0127,2013,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0128,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0129,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0130,2013,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0131,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0132,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0133,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0134,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0135,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0136,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0137,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0138,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0139,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0140,2014,authored-post,civic-and-public-interest-work,recovered,aggregate-only
recovered-0141,2014,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0142,2014,authored-post,care-memory-and-relationships,recovered,aggregate-only
recovered-0143,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0144,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0145,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0146,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0147,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0148,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0149,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0150,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0151,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0152,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0153,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0154,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0155,2014,repost,everyday-life-and-observation,recovered,aggregate-only
recovered-0156,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0157,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0158,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0159,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0160,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0161,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0162,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0163,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0164,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0165,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0166,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0167,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0168,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0169,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0170,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0171,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0172,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0173,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0174,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0175,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0176,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0177,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0178,2014,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0179,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0180,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0181,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0182,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0183,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0184,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0185,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0186,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0187,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0188,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0189,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0190,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0191,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0192,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0193,2014,authored-post,waterways-place-and-ecology,recovered,aggregate-only
recovered-0194,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0195,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0196,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0197,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0198,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0199,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0200,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0201,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0202,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0203,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0204,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0205,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0206,2014,authored-post,community-and-hospitality,recovered,aggregate-only
recovered-0207,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0208,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0209,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0210,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0211,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
recovered-0212,2014,authored-post,everyday-life-and-observation,recovered,aggregate-only
recovered-0213,2014,authored-post,culture-art-and-performance,recovered,aggregate-only
