ledger_id,post_id,date,record_type,primary_theme,reactions,comments,shares,source_url,accounting_status,public_detail_status
recovered-001,384399728433507,2015-04-25,standalone-post,event-distribution,0,0,0,https://www.facebook.com/wowlist/posts/384399728433507,recovered,metadata-only
recovered-002,389058464634300,2015-05-11,standalone-post,distributed-community-use,0,0,0,https://www.facebook.com/wowlist/posts/389058464634300,recovered,metadata-only
recovered-003,389607387912741,2015-05-13,standalone-post,event-distribution,0,2,0,https://www.facebook.com/wowlist/posts/389607387912741,recovered,metadata-only
recovered-004,396324050574408,2015-05-29,standalone-post,distributed-community-use,2,1,0,https://www.facebook.com/wowlist/posts/396324050574408,recovered,metadata-only
recovered-005,398906853649461,2015-06-04,standalone-post,event-distribution,0,0,1,https://www.facebook.com/wowlist/posts/398906853649461,recovered,metadata-only
recovered-006,405879632952183,2015-06-24,standalone-post,cultural-space-care,2,1,1,https://www.facebook.com/wowlist/posts/405879632952183,recovered,metadata-only
recovered-007,406264956246984,2015-06-25,standalone-post,event-distribution,5,2,1,https://www.facebook.com/wowlist/posts/406264956246984,recovered,metadata-only
recovered-008,406350326238447,2015-06-25,standalone-post,event-distribution,0,0,0,https://www.facebook.com/wowlist/posts/406350326238447,recovered,metadata-only
recovered-009,422738701266276,2015-08-14,standalone-post,product-community-infrastructure,0,0,0,https://www.facebook.com/wowlist/posts/422738701266276,recovered,metadata-only
recovered-010,422801284593351,2015-08-14,standalone-post,product-community-infrastructure,1,0,0,https://www.facebook.com/wowlist/posts/422801284593351,recovered,metadata-only
recovered-011,425723747634438,2015-08-22,reshared-story,distributed-community-use,1,1,0,https://www.facebook.com/wowlist/posts/425723747634438,recovered,metadata-only
recovered-012,430461273827352,2015-09-03,standalone-post,product-community-infrastructure,3,0,0,https://www.facebook.com/wowlist/posts/430461273827352,recovered,metadata-only
recovered-013,433959393477540,2015-09-14,standalone-post,distributed-community-use,0,1,0,https://www.facebook.com/wowlist/posts/433959393477540,recovered,metadata-only
recovered-014,435109090029237,2015-09-18,standalone-post,distributed-community-use,1,0,0,https://www.facebook.com/wowlist/posts/435109090029237,recovered,metadata-only
