ledger_id,status_id,date,record_type,account,primary_theme,mentioned_handles,hashtags,status_url,accounting_status
recovered-001,433628764493606913,2014-02-12,repost,all_ages,community-scene-context,all_ages,,https://x.com/all_ages/status/433628764493606913,recovered
recovered-002,433671630837919744,2014-02-12,authored-post,wowlist,product-community-infrastructure,urbanhermit|wowlist,SundayDinner,https://x.com/wowlist/status/433671630837919744,recovered
recovered-003,587713396486856704,2015-04-13,authored-post,wowlist,event-distribution,wowlist,org20,https://x.com/wowlist/status/587713396486856704,recovered
recovered-004,590942060829663232,2015-04-22,authored-post,wowlist,event-distribution,Allied_Media|AlliedMediaConf|PMPressOrg|wowlist,amc2015,https://x.com/wowlist/status/590942060829663232,recovered
recovered-005,590961074326917122,2015-04-22,authored-post,wowlist,event-distribution,DSTRYNATEALLEN|wowlist,folkPunk|KCDIY,https://x.com/wowlist/status/590961074326917122,recovered
recovered-006,591664757473673216,2015-04-24,authored-reply,wowlist,product-support-and-onboarding,juliafredenburg|wowlist,,https://x.com/wowlist/status/591664757473673216,recovered
recovered-007,591666366215811073,2015-04-24,authored-reply,wowlist,product-support-and-onboarding,juliafredenburg|wowlist,,https://x.com/wowlist/status/591666366215811073,recovered
recovered-008,591668857670148096,2015-04-24,authored-reply,wowlist,product-support-and-onboarding,juliafredenburg|wowlist,,https://x.com/wowlist/status/591668857670148096,recovered
recovered-009,591944013768499200,2015-04-25,repost,urbanhermit,platform-use-and-event-amplification,urbanhermit,,https://x.com/urbanhermit/status/591944013768499200,recovered
recovered-010,592424659225845760,2015-04-26,repost,TheSilentBarn,civic-care-amplification,TheSilentBarn,,https://x.com/TheSilentBarn/status/592424659225845760,recovered
recovered-011,592718356018556928,2015-04-27,repost,urbanhermit,platform-use-and-event-amplification,urbanhermit,,https://x.com/urbanhermit/status/592718356018556928,recovered
recovered-012,592787353925726208,2015-04-27,repost,zachfromiji,community-scene-context,zachfromiji,,https://x.com/zachfromiji/status/592787353925726208,recovered
recovered-013,592810776961916929,2015-04-27,authored-post,wowlist,scene-knowledge-and-connection,elisegranata|wowlist,grasstronaut,https://x.com/wowlist/status/592810776961916929,recovered
recovered-014,596690796641923073,2015-05-08,authored-post,wowlist,scene-knowledge-and-connection,elisegranata|wowlist,,https://x.com/wowlist/status/596690796641923073,recovered
recovered-015,596691623993581568,2015-05-08,authored-post,wowlist,scene-knowledge-and-connection,elisegranata|wowlist,,https://x.com/wowlist/status/596691623993581568,recovered
